"morandin.ogg","module","blast2GOannotation"
"EOG718V6Z",11,"Rho-related GTP-binding protein RhoU"
"EOG71GKP3",11,"hypothetical protein EAG_09648"
"EOG71KFX0",11,"NUAK family SNF1-like kinase 1"
"EOG71KFXJ",11,"Thiamine transporter 2"
"EOG71PB51",11,"hypothetical protein SINV_03026"
"EOG71S6D0",11,"PREDICTED: hypothetical protein LOC100652014"
"EOG71W2MW",11,"BR serine/threonine-protein kinase 2"
"EOG71W2NC",11,"DNA repair protein RAD51-like protein 1"
"EOG71ZXWH",11,"hypothetical protein EAI_00101"
"EOG722T41",11,"CCR4-NOT transcription complex subunit 2"
"EOG725PBT",11,"hypothetical protein SINV_01321"
"EOG725PBV",11,"hypothetical protein SINV_14503"
"EOG728JKZ",11,"hypothetical protein SINV_09774"
"EOG72CDTN",11,"PREDICTED: hypothetical protein LOC409435"
"EOG72G92C",11,"Nuclear pore complex protein Nup160-like protein"
"EOG72G935",11,"PREDICTED: splicing factor 3A subunit 2-like"
"EOG72P1J7",11,"hypothetical protein SINV_15680"
"EOG72P1K0",11,"Lontudinalslackingprotein,isoformsF/I/K/T"
"EOG72VS29",11,"hypothetical protein SINV_04968"
"EOG72ZN86",11,"hypothetical protein SINV_01056"
"EOG72ZN8C",11,"hypothetical protein EAG_12847"
"EOG72ZN8Q",11,"PREDICTED: protein held out wings-like"
"EOG732HH4",11,"Spondin-1"
"EOG735CRD",11,"DNA polymerase delta small subunit"
"EOG7387ZZ",11,"PREDICTED: WD40 repeat-containing protein SMU1-like"
"EOG738801",11,"hypothetical protein SINV_02948"
"EOG73C46N",11,"Sodium leak channel non-selective protein"
"EOG73G0FR",11,"hypothetical protein SINV_13198"
"EOG73G0FV",11,"Gamma-tubulin complex component 2"
"EOG73JVPX",11,"Tubulin alpha chain"
"EOG73NQXJ",11,"hypothetical protein SINV_11054"
"EOG73NQZ6",11,"Vacuolar ATP synthase subunit S1"
"EOG73NQZR",11,"hypothetical protein SINV_03670"
"EOG73VGDX",11,"ATPase WRNIP1"
"EOG7426WT",11,"WD repeat-containing protein 19"
"EOG745343",11,"hypothetical protein SINV_03161"
"EOG74534F",11,"hypothetical protein SINV_09876"
"EOG74534J",11,"Annexin-B11"
"EOG747ZC4",11,"Transcriptional regulator ATRX"
"EOG747ZC7",11,"Cofilin/actin-depolymerizing factor-like protein"
"EOG747ZCW",11,"PPPDE peptidase domain-containing protein 1"
"EOG74BTM8",11,"Armadillo repeat-containing protein 4"
"EOG74FPTX",11,"Isoleucyl-tRNAsynthetase,mitochondrial"
"EOG74FPV7",11,"BTB/POZ domain-containing protein 2"
"EOG74FPV9",11,"hypothetical protein SINV_09575"
"EOG74FPVK",11,"hypothetical protein SINV_05919"
"EOG74NF9T",11,"hypothetical protein SINV_80176"
"EOG74Z22G",11,"COMM domain-containing protein 2"
"EOG751X96",11,"Mitochondrial ornithine transporter 1"
"EOG754SJ1",11,"hypothetical protein SINV_12342"
"EOG754SJK",11,"NHP2-like protein 1-like protein"
"EOG757NSK",11,"Lontudinalslackingprotein,isoformsA/B/D/L"
"EOG75FD7D",11,"hypothetical protein SINV_10721"
"EOG75FD82",11,"hypothetical protein SINV_04695"
"EOG75J8G9",11,"ProteinMTO1-likeprotein,mitochondrial"
"EOG75J8H1",11,"hypothetical protein SINV_14247"
"EOG75N4QH",11,"Signal transducing adapter molecule 1"
"EOG761MP7",11,"hypothetical protein SINV_02953"
"EOG761MPG",11,"hypothetical protein SINV_04120"
"EOG764GWS",11,"hypothetical protein SINV_09822"
"EOG764GX7",11,"ATP-binding cassette sub-family G member"
"EOG764GXJ",11,"hypothetical protein SINV_01078"
"EOG767C50",11,"Far upstream element-binding protein 1"
"EOG76F3MP",11,"Zinc finger protein 569"
"EOG76F3MV",11,"Serine/threonine-protein kinase polo"
"EOG76F3N1",11,"Solute carrier family 25 member 46"
"EOG76F3N5",11,"hypothetical protein SINV_09243"
"EOG76HZVP",11,"N-acetyltransferase MAK3-like protein"
"EOG76HZW1",11,"Putative RNA methyltransferase NOL1"
"EOG76HZW2",11,"Putative ATP-dependent RNA helicase DDX47"
"EOG76QQBN",11,"Agrin"
"EOG76QQBQ",11,"Glycylpeptide N-tetradecanoyltransferase 1"
"EOG76TKKC",11,"Microtubule-associated serine/threonine-protein kinase 2"
"EOG76XFTK",11,"hypothetical protein KGM_00601"
"EOG76XFTN",11,"Lachesin"
"EOG771B2B",11,"hypothetical protein SINV_11358"
"EOG771B2C",11,"Probable ATP-dependent RNA helicase DDX27"
"EOG771B2Q",11,"Afadin"
"EOG77469H",11,"hypothetical protein SINV_13895"
"EOG77469J",11,"hypothetical protein SINV_14307"
"EOG77469P",11,"U4/U6 small nuclear ribonucleoprotein Prp31"
"EOG7772J6",11,"Solute carrier family 15 member 1"
"EOG779XS0",11,"hypothetical protein EAG_00651"
"EOG779XSK",11,"hypothetical protein SINV_06192"
"EOG779XSP",11,"hypothetical protein SINV_05164"
"EOG77DT1D",11,"Dynein light chain Tctex-type 1"
"EOG77HP7W",11,"PAX-interacting protein 1"
"EOG77MJGX",11,"hypothetical protein SINV_01133"
"EOG77QDR3",11,"hypothetical protein SINV_00317"
"EOG77T8ZK",11,"hypothetical protein SINV_10883"
"EOG77T8ZT",11,"Hepatoma-derived growth factor"
"EOG77T900",11,"hypothetical protein SINV_10773"
"EOG77X575",11,"hypothetical protein SINV_04799"
"EOG7811FH",11,"Eukaryotic translation initiation factor 2-alpha kinase 4"
"EOG783WPG",11,"hypothetical protein SINV_03089"
"EOG783WPP",11,"Prolineoxidase,mitochondrial"
"EOG783WPX",11,"Heterogeneous nuclear ribonucleoprotein H2"
"EOG786RZ0",11,"hypothetical protein G5I_02222"
"EOG789N5J",11,"hypothetical protein SINV_00170"
"EOG789N65",11,"UPF0563 protein"
"EOG78DHD4",11,"Neural-cadherin"
"EOG78DHDK",11,"hypothetical protein SINV_01544"
"EOG78DHDW",11,"ubiquitin-conjugatingenzymeE2-17kDa,putative"
"EOG78HCN7",11,"Niemann-Pick C1 protein"
"EOG78HCNJ",11,"Peritrophin-1"
"EOG78HCNX",11,"hypothetical protein SINV_80899"
"EOG78M7WH",11,"PRKCA-binding protein"
"EOG78Q44Q",11,"Protein l(2)37Cc"
"EOG78Q44X",11,"FUN14 domain-containing protein 2"
"EOG78WVM8",11,"Zinc finger protein 425"
"EOG78WVMK",11,"Kinesin-like protein KIF23"
"EOG790QV2",11,"Elongator complex protein 3"
"EOG796GB4",11,"hypothetical protein SINV_15183"
"EOG796GBC",11,"Lachesin"
"EOG799BJM",11,"Exportin-5"
"EOG799BJZ",11,"hypothetical protein SINV_03489"
"EOG799BKK",11,"Protein lethal(2)essential for life"
"EOG79D6SW",11,"Cell division protein kinase 8"
"EOG79H324",11,"hypothetical protein SINV_05704"
"EOG79KZ8C",11,"hypothetical protein SINV_05429"
"EOG79KZ8G",11,"hypothetical protein SINV_08843"
"EOG79KZ90",11,"hypothetical protein SINV_11863"
"EOG79SPRH",11,"hypothetical protein SINV_11522"
"EOG79WK04",11,"hypothetical protein SINV_13348"
"EOG7B0F84",11,"hypothetical protein SINV_02909"
"EOG7B0F85",11,"UPF0485 protein C1orf144-like protein"
"EOG7B39GC",11,"Pescadillo-like protein"
"EOG7B39H2",11,"hypothetical protein EAG_09984"
"EOG7B65Q0",11,"DNApolymerasesubunitgamma-1,mitochondrial"
"EOG7B65QH",11,"hypothetical protein SINV_08404"
"EOG7B65R0",11,"Melanoma-associated antigen G1"
"EOG7B91ZV",11,"hypothetical protein SINV_03984"
"EOG7BCX6M",11,"NEDD4 family-interacting protein 1"
"EOG7BKNNP",11,"PREDICTED: regulator of nonsense transcripts 1"
"EOG7BKNNS",11,"Importin-4"
"EOG7BKNP0",11,"hypothetical protein SINV_04304"
"EOG7BKNPJ",11,"hypothetical protein SINV_16302"
"EOG7BKNPM",11,"hypothetical protein SINV_13217"
"EOG7BPHX6",11,"Acyl-CoA Delta(11) desaturase"
"EOG7BSD4Q",11,"hypothetical protein SINV_06415"
"EOG7BSD52",11,"hypothetical protein SINV_00633"
"EOG7BSD54",11,"PREDICTED:methionyl-tRNAsynthetase,mitochondrial-like"
"EOG7BW8CG",11,"Protein split ends"
"EOG7C04MM",11,"hypothetical protein SINV_15552"
"EOG7C04N0",11,"LanC-like protein 2"
"EOG7C30V7",11,"Dyneinbetachain,ciliary"
"EOG7C30W1",11,"Proteinpangolin,isoformJ"
"EOG7C30W8",11,"hypothetical protein SINV_13235"
"EOG7C30W9",11,"Zinc finger matrin-type protein 2"
"EOG7C5W3F",11,"hypothetical protein SINV_07491"
"EOG7C5W40",11,"hypothetical protein G5I_06171"
"EOG7C8RBH",11,"Serine/threonine-protein kinase VRK1"
"EOG7CCMK6",11,"Integrator complex subunit 4"
"EOG7CCMKF",11,"hypothetical protein SINV_07686"
"EOG7CCMKR",11,"hypothetical protein SINV_12245"
"EOG7CCMKS",11,"Mitochondrial enolase superfamily member 1"
"EOG7CCMKV",11,"DTW domain-containing protein 2"
"EOG7CKC2H",11,"hypothetical protein SINV_03887"
"EOG7CP795",11,"Uncharacterized protein C22orf9-like protein"
"EOG7CVZSB",11,"hypothetical protein SINV_16123"
"EOG7CZV0V",11,"hypothetical protein SINV_11598"
"EOG7CZV1P",11,"hypothetical protein SINV_12955"
"EOG7D2Q7W",11,"hypothetical protein SINV_12497"
"EOG7D2Q86",11,"26S proteasome non-ATPase regulatory subunit 14"
"EOG7D2Q87",11,"Zinc finger protein 248"
"EOG7D2Q8D",11,"hypothetical protein X777_12905"
"EOG7D5KH8",11,"hypothetical protein SINV_12478"
"EOG7D8FQX",11,"hypothetical protein SINV_04027"
"EOG7DC9ZN",11,"Uncharacterized protein C18orf8-like protein"
"EOG7DC9ZP",11,"A disintegrin and metalloproteinase with thrombospondin motifs"
"EOG7DC9ZR",11,"hypothetical protein SINV_00409"
"EOG7DCB08",11,"hypothetical protein SINV_15235"
"EOG7DG66N",11,"hypothetical protein SINV_14612"
"EOG7DG676",11,"SUMO-conjugating enzyme UBC9"
"EOG7DG678",11,"ADP-ribosylation factor-like protein 6"
"EOG7DK2FW",11,"Alpha-tocopherol transfer protein-like"
"EOG7DNXP7",11,"Tetratricopeptide repeat protein 37"
"EOG7DRSX6",11,"Exosome complex exonuclease RRP44"
"EOG7DRSXJ",11,"Histone deacetylase complex subunit SAP130"
"EOG7DVP58",11,"Dipeptidyl peptidase 4"
"EOG7DVP5G",11,"GPI mannosyltransferase 3"
"EOG7DZJF1",11,"Uncharacterized protein F58A4.6"
"EOG7F58W8",11,"hypothetical protein SINV_03840"
"EOG7F58WT",11,"N-acetylserotonin O-methyltransferase-like protein"
"EOG7F853S",11,"AT-hook-containing transcription factor 1"
"EOG7F853Z",11,"Protein lingerer"
"EOG7F8543",11,"hypothetical protein SINV_02075"
"EOG7F8548",11,"hypothetical protein SINV_00365"
"EOG7F854F",11,"hypothetical protein SINV_01599"
"EOG7FFWKT",11,"Cell division cycle 5-related protein"
"EOG7FFWM2",11,"Tubulin alpha-1 chain"
"EOG7FNN34",11,"hypothetical protein SINV_09604"
"EOG7FRHB2",11,"Serine/threonine-protein phosphatase 6"
"EOG7FRHBD",11,"Gol SNAP receptor complex member 1"
"EOG7FVCJK",11,"hypothetical protein SINV_05553"
"EOG7FZ7SB",11,"Copper-transporting ATPase 1"
"EOG7FZ7SF",11,"Autophagy-related protein 9A"
"EOG7FZ7TP",11,"hypotheticalproteinX777_05360,partial"
"EOG7G241K",11,"Protein timeless-like protein"
"EOG7G242D",11,"UPF0708 protein C6orf162-like protein"
"EOG7G508P",11,"hypothetical protein SINV_12041"
"EOG7G508T",11,"Tumor protein 63"
"EOG7G7VHG",11,"hypothetical protein SINV_04045"
"EOG7GBQR3",11,"Zinc finger protein DZIP1L"
"EOG7GBQRC",11,"DNA-binding protein Ets97D"
"EOG7GFKZZ",11,"hypothetical protein SINV_80459"
"EOG7GFM04",11,"Serine proteinase stubble"
"EOG7GJG7H",11,"3-chlorobenzoate-3,4-dioxygenaseoxygenasesubunit"
"EOG7GNBFW",11,"NF-kappa-B inhibitor zeta"
"EOG7GR6PS",11,"Protein phosphatase Slingshot"
"EOG7GR6Q7",11,"hypothetical protein SINV_13816"
"EOG7GR6QN",11,"hypothetical protein SINV_01833"
"EOG7GV2XQ",11,"hypothetical protein SINV_09531"
"EOG7GV2XR",11,"hypothetical protein SINV_01289"
"EOG7GV2Z6",11,"Microspherule protein 1"
"EOG7GXZ69",11,"hypothetical protein SINV_05509"
"EOG7GXZ6J",11,"hypothetical protein SINV_04270"
"EOG7H1TFN",11,"Zinc finger protein 541"
"EOG7H4PNT",11,"hypothetical protein SINV_11909"
"EOG7H4PNZ",11,"Transcriptional repressor p66-alpha"
"EOG7H7JWJ",11,"hypothetical protein SINV_03998"
"EOG7HBF4Z",11,"hypothetical protein SINV_12126"
"EOG7HBF5D",11,"hypothetical protein EAG_12759"
"EOG7HJ5MG",11,"PREDICTED: male-specific lethal 2 homolog"
"EOG7HJ5MM",11,"Beta-1,3-glucosyltransferase"
"EOG7HN1VM",11,"hypothetical protein SINV_09326"
"EOG7HQX36",11,"hypothetical protein SINV_07186"
"EOG7HQX3Q",11,"hypothetical protein SINV_11506"
"EOG7HTSBP",11,"hypothetical protein SINV_00528"
"EOG7HXNK6",11,"hypothetical protein EAI_17333"
"EOG7HXNKC",11,"Serine/threonine-protein kinase 32B"
"EOG7HXNKZ",11,"hypothetical protein EAG_08072"
"EOG7J1HT3",11,"Puromycin-sensitive aminopeptidase"
"EOG7J1HTH",11,"hypothetical protein SINV_04997"
"EOG7J4D1Q",11,"PREDICTED: uncharacterized protein PFB0765w-like"
"EOG7J4D2J",11,"hypothetical protein SINV_02059"
"EOG7J4D2N",11,"Vesicle-associated membrane protein-associated protein A"
"EOG7J789J",11,"hypothetical protein SINV_08452"
"EOG7JB4J2",11,"hypothetical protein SINV_08448"
"EOG7JB4JM",11,"Pumilio-like protein 2"
"EOG7JHW0M",11,"DNA replication licensing factor Mcm6"
"EOG7JHW0X",11,"hypothetical protein SINV_09086"
"EOG7JHW1Q",11,"hypothetical protein X777_06695"
"EOG7JMR7G",11,"hypothetical protein AND_00079"
"EOG7JQMH0",11,"Proline-rich protein PRCC"
"EOG7JTGQ9",11,"Active breakpoint cluster re on-related protein"
"EOG7JTGQP",11,"S-adenosylmethionine decarboxylase proenzyme"
"EOG7JXBZK",11,"7SK snRNA methylphosphate capping enzyme"
"EOG7JXBZN",11,"Fizzy-related protein-like protein"
"EOG7K1765",11,"Pre-mRNA cleavage complex 2 protein Pcf11"
"EOG7K176W",11,"Transmembrane protein 165"
"EOG7K43F0",11,"Myosin-IXa"
"EOG7K43F9",11,"ATP-dependent DNA helicase PIF1"
"EOG7K43FH",11,"PREDICTED: uncharacterized oxidoreductase dhs-27-like"
"EOG7K43G0",11,"Ras-related protein Rab-23"
"EOG7KHKDN",11,"hypothetical protein EAG_01770"
"EOG7KHKDZ",11,"PREDICTED: ubiquitin-like protein 3-like"
"EOG7KQ9VV",11,"Genetic suppressor element 1"
"EOG7KQ9W3",11,"DNA polymerase subunit alpha B"
"EOG7KT643",11,"hypothetical protein SINV_03701"
"EOG7KT649",11,"hypothetical protein SINV_04761"
"EOG7KX2BR",11,"hypothetical protein SINV_02972"
"EOG7M3SV4",11,"PREDICTED: tripartite motif-containing protein 2-like isoform X4"
"EOG7M6P2M",11,"Uncharacterized protein C12orf11"
"EOG7M9J9P",11,"hypothetical protein SINV_05940"
"EOG7M9J9T",11,"Zinc finger protein ubi-d4 A"
"EOG7MM51N",11,"Kelch-like protein 10"
"EOG7MQ18Q",11,"hypothetical protein G5I_00289"
"EOG7MSWGZ",11,"Dedicator of cytokinesis protein 7"
"EOG7MSWHN",11,"NK-tumor recognition protein"
"EOG7MSWHT",11,"Glutaredoxin 3"
"EOG7N0N0C",11,"BTB/POZ domain-containing protein KCTD9"
"EOG7N3H6T",11,"hypothetical protein SINV_02153"
"EOG7N6CG1",11,"Replication factor C subunit 1"
"EOG7N6CGK",11,"PREDICTED:uncharacterizedproteinLOC103311807,partial"
"EOG7N97Q4",11,"hypothetical protein SINV_00160"
"EOG7ND3Z5",11,"Rab11 family-interacting protein 4"
"EOG7NKVDV",11,"WD repeat-containing protein 85"
"EOG7NPQP2",11,"Ras-related protein Rab-1A"
"EOG7NPQP5",11,"39SribosomalproteinL13,mitochondrial"
"EOG7NPQPC",11,"Vesicle-associated membrane protein 4"
"EOG7NSKWF",11,"Nuclear pore complex protein Nup133"
"EOG7NSKX3",11,"hypothetical protein SINV_13021"
"EOG7NSKXB",11,"hypothetical protein SINV_15527"
"EOG7P0BCB",11,"Condensin complex subunit 2"
"EOG7P0BCJ",11,"RNA-binding protein 39"
"EOG7P0BCK",11,"mitogen-activated protein kinase"
"EOG7P0BCP",11,"hypothetical protein SINV_05439"
"EOG7P36M6",11,"hypothetical protein SINV_01372"
"EOG7P36MK",11,"hypothetical protein SINV_06982"
"EOG7P8Z33",11,"hypothetical protein SINV_08300"
"EOG7P8Z38",11,"hypothetical protein EAG_12875"
"EOG7P8Z3J",11,"FAD-dependent oxidoreductase domain-containing protein 1"
"EOG7PGPJZ",11,"hypothetical protein SINV_08930"
"EOG7PGPK7",11,"Uncharacterized protein C16orf73-like protein"
"EOG7PKJSQ",11,"Aladin"
"EOG7PKJSS",11,"Zinc finger protein 318"
"EOG7PPF20",11,"Gastrulation defective protein 1-like protein"
"EOG7PS98J",11,"Ribosomal protein S6 kinase delta-1"
"EOG7Q01RQ",11,"Putative ZDHHC-type palmitoyltransferase 2"
"EOG7Q2X09",11,"hypothetical protein SINV_10618"
"EOG7Q2X0K",11,"Transferrin"
"EOG7Q5S7B",11,"hypothetical protein X777_06023"
"EOG7Q5S8C",11,"Probable RNA-binding protein EIF1AD"
"EOG7Q8NGF",11,"Carboxylesterase 3"
"EOG7QK863",11,"Methionyl-tRNAsynthetase,cytoplasmic"
"EOG7QK86D",11,"PREDICTED: proclotting enzyme"
"EOG7QP4F3",11,"PREDICTED: uncharacterized protein LOC100869655"
"EOG7QS0P2",11,"hypothetical protein SINV_02801"
"EOG7QVVX4",11,"hypothetical protein EAG_09459"
"EOG7QZR4P",11,"Histone acetyltransferase MYST4"
"EOG7QZR54",11,"hypothetical protein SINV_06447"
"EOG7QZR5B",11,"hypothetical protein SINV_11883"
"EOG7R2MD8",11,"U6 snRNA-specific terminal uridylyltransferase 1"
"EOG7R2MDJ",11,"HEAT repeat-containing protein 2"
"EOG7R5GMJ",11,"Rho-associated protein kinase 2"
"EOG7R5GMT",11,"Coiled-coil domain-containing protein AGAP005037"
"EOG7R5GN6",11,"hypothetical protein EAG_12011"
"EOG7R5GNB",11,"Smad nuclear-interacting protein 1"
"EOG7R8BVH",11,"hypothetical protein SINV_14349"
"EOG7R8BVX",11,"hypothetical protein SINV_10136"
"EOG7R8BW2",11,"Transmembraneprotease,serine4"
"EOG7R8BWC",11,"hypothetical protein SINV_08511"
"EOG7RC73T",11,"hypothetical protein SINV_07369"
"EOG7RJZM2",11,"PREDICTED: ras suppressor protein 1-like"
"EOG7RRQ2G",11,"Nucleoporin GLE1"
"EOG7RVK9C",11,"Solute carrier family 12 member 8"
"EOG7RVK9D",11,"hypothetical protein SINV_11435"
"EOG7RVK9H",11,"RNA polymerase I-specific transcription initiation factor RRN3"
"EOG7RVKBB",11,"hypothetical protein EAG_08793"
"EOG7S5613",11,"Probable ATP-dependent RNA helicase DDX12"
"EOG7S561Q",11,"hypothetical protein SINV_06955"
"EOG7S827W",11,"hypothetical protein SINV_04660"
"EOG7S828T",11,"hypothetical protein SINV_13967"
"EOG7SBXGS",11,"hypothetical protein SINV_04372"
"EOG7SBXGZ",11,"IQ and AAA domain-containing protein ENSP00000340148"
"EOG7SJP03",11,"Exonuclease GOR"
"EOG7SNJ6P",11,"Protein ovo"
"EOG7SNJ6V",11,"hypothetical protein SINV_13511"
"EOG7SNJ75",11,"hypothetical protein SINV_04525"
"EOG7SRDFS",11,"hypothetical protein SINV_02589"
"EOG7SV8PJ",11,"UV radiation resistance-associated gene protein"
"EOG7SV8PM",11,"hypothetical protein SINV_03318"
"EOG7SZ4X8",11,"hypothetical protein G5I_14350"
"EOG7SZ4XJ",11,"hypothetical protein SINV_13231"
"EOG7SZ4XQ",11,"hypothetical protein SINV_11247"
"EOG7T4WDR",11,"Putative chitinase 2"
"EOG7T4WDT",11,"hypothetical protein SINV_05779"
"EOG7T7RNH",11,"Equilibrative nucleoside transporter 1"
"EOG7T7RNW",11,"Enhancer of split mgamma protein"
"EOG7TFH41",11,"Signal-induced proliferation-associated 1-like protein 1"
"EOG7TFH42",11,"hypothetical protein SINV_13757"
"EOG7TFH48",11,"Receptor-typetyrosine-proteinphosphatasekappa,partial"
"EOG7TFH4H",11,"Lissencephaly-1-like protein"
"EOG7TFH4R",11,"hypothetical protein SINV_14883"
"EOG7TN7MH",11,"hypothetical protein SINV_08973"
"EOG7TR3V2",11,"hypothetical protein SINV_00583"
"EOG7TV034",11,"hypothetical protein SINV_09648"
"EOG7TV03K",11,"Diacylglycerol O-acyltransferase 1"
"EOG7TXVB0",11,"Sorting nexin-27"
"EOG7TXVB9",11,"hypothetical protein SINV_05727"
"EOG7V1QJK",11,"hypothetical protein SINV_80458"
"EOG7V1QJR",11,"NAD-dependent deacetylase sirtuin-1"
"EOG7V1QJS",11,"Harmonin"
"EOG7V4KT1",11,"hypothetical protein SINV_11151"
"EOG7V7G1S",11,"hypothetical protein SINV_02611"
"EOG7V7G23",11,"hypothetical protein SINV_11400"
"EOG7VBB95",11,"RNA-binding protein 42"
"EOG7VF6H7",11,"Putative chitinase 3"
"EOG7VJ2RB",11,"Dipeptidyl peptidase 4"
"EOG7VJ2RS",11,"Serine/threonine-protein phosphatase PP1-beta catalytic subunit"
"EOG7VJ2RZ",11,"Solute carrier family 41 member 1"
"EOG7VMZ0Q",11,"Serine/threonine protein kinase NLK"
"EOG7VTPG4",11,"RNA polymerase-associated protein CTR9-like protein"
"EOG7VXJQR",11,"hypothetical protein SINV_03356"
"EOG7W1DZF",11,"Calcium release-activated calcium channel protein 1"
"EOG7W4962",11,"GPI inositol-deacylase"
"EOG7WB1NR",11,"hypothetical protein SINV_07751"
"EOG7WB1PJ",11,"hypothetical protein EAG_15272"
"EOG7WDWX1",11,"Cell division cycle protein 20-like protein"
"EOG7WDWXD",11,"hypothetical protein SINV_06869"
"EOG7WDWXG",11,"hypothetical protein EAG_13076"
"EOG7WHS58",11,"Putative deoxyribose-phosphate aldolase"
"EOG7WMNCM",11,"hypothetical protein SINV_08171"
"EOG7WMNCP",11,"Uncharacterized protein KIAA0562"
"EOG7WMNCT",11,"Alpha-1,3-mannosyl-glycoprotein4-beta-N-acetylglucosaminyltransferaseB"
"EOG7WMND8",11,"15-hydroxyprostaglandin dehydrogenase"
"EOG7WQHMQ",11,"UPF0557 protein C10orf119-like protein"
"EOG7WQHN6",11,"Uncharacterized protein DKFZP564O0523-like protein"
"EOG7WTCVH",11,"Zinc finger protein 778"
"EOG7WX83S",11,"hypothetical protein SINV_06087"
"EOG7WX84D",11,"hypothetical protein SINV_02135"
"EOG7X40K8",11,"hypothetical protein SINV_05505"
"EOG7X40M8",11,"hypothetical protein SINV_04473"
"EOG7X6VTV",11,"Glucosamine-6-phosphate isomerase"
"EOG7XDM91",11,"Alpha-N-acetylglucosaminidase"
"EOG7XDM9C",11,"Translation initiation factor eIF-2B subunit gamma"
"EOG7XDM9G",11,"hypothetical protein SINV_05770"
"EOG7XDM9P",11,"hypothetical protein SINV_14117"
"EOG7XDM9R",11,"hypothetical protein SINV_15326"
"EOG7XHGJP",11,"Proteasome subunit alpha type-1"
"EOG7XMBRS",11,"hypothetical protein SINV_11004"
"EOG7XMBSC",11,"Pancreatic triacylglycerol lipase"
"EOG7XMBSP",11,"Outer dense fiber protein 3"
"EOG7XQ70W",11,"GC-rich sequence DNA-binding factor-like protein"
"EOG7XT381",11,"Tubulin polyglutamylase TTLL4"
"EOG7XT38C",11,"hypothetical protein G5I_09786"
"EOG7XWZGJ",11,"Acylphosphatase-2"
"EOG7Z0TRK",11,"Baculoviral IAP repeat-containing protein 5"
"EOG7Z3PZW",11,"hypothetical protein SINV_09925"
"EOG7Z6K6N",11,"Vacuolar protein sorting-associated protein 45"
"EOG7Z9FF9",11,"Nuclear pore complex protein Nup107"
"EOG7Z9FFM",11,"Sorting nexin-12"
"EOG7Z9FFQ",11,"PREDICTED: TAR DNA-binding protein 43-like isoform X3"
"EOG7Z9FG3",11,"Inhibitor of growth protein 4"
"EOG7Z9FGF",11,"Phosphatidylinositol 3-kinase regulatory subunit alpha"
"EOG7ZD9Q0",11,"E3 ubiquitin-protein ligase RING2"
"EOG7ZM25C",11,"hypothetical protein SINV_14155"
"EOG7ZM264",11,"hypothetical protein TcasGA2_TC030635"
"EOG7ZSSNB",11,"FERM domain-containing protein 8"
"EOG7ZWNW4",11,"Nuclear RNA export factor 1"
"EOG703DB0",12,"PREDICTED: hypothetical protein LOC408906 isoform 1"
"EOG7068K8",12,"Sorting nexin-33"
"EOG7094T9",12,"hypothetical protein SINV_04750"
"EOG7094V3",12,"hypothetical protein SINV_06628"
"EOG70D12Q",12,"hypothetical protein SINV_00559"
"EOG70GW8M",12,"Inositol1,4,5-trisphosphatereceptor"
"EOG70GW8Z",12,"Guanine nucleotide exchange factor for Rab3A"
"EOG70GW90",12,"3-chlorobenzoate-3,4-dioxygenaseoxygenasesubunit"
"EOG70PMSF",12,"Kv channel-interacting protein 2"
"EOG70SH1F",12,"hypothetical protein EAG_12242"
"EOG70WC7M",12,"Phosphatidylcholine:ceramide cholinephosphotransferase 1"
"EOG70WC7T",12,"hypothetical protein SINV_12250"
"EOG7107GD",12,"Tectonin beta-propeller repeat-containing protein"
"EOG7107H0",12,"D-beta-hydroxybutyratedehydrogenase,mitochondrial"
"EOG7133QG",12,"hypothetical protein SINV_09772"
"EOG715ZZR",12,"DNA replication licensing factor MCM8"
"EOG718V6Q",12,"hypothetical protein SINV_10888"
"EOG71CQFH",12,"hypothetical protein SINV_11131"
"EOG71CQFQ",12,"hypothetical protein SINV_07657"
"EOG71CQFW",12,"Interferon-related developmental regulator 1"
"EOG71GKPN",12,"hypothetical protein G5I_03417"
"EOG71GKPV",12,"hypothetical protein SINV_13042"
"EOG71KFX7",12,"ATP-binding cassette sub-family D member 1"
"EOG71KFXV",12,"DnaJ-like protein subfamily C member 8"
"EOG71PB58",12,"hypothetical protein SINV_02559"
"EOG71W2MQ",12,"PREDICTED: sodium channel protein para-like"
"EOG722T4H",12,"Translationally-controlled tumor protein-like protein"
"EOG725PBN",12,"Anaphase-promoting complex subunit 2"
"EOG725PC8",12,"hypothetical protein EAG_07148"
"EOG725PCG",12,"hypothetical protein SINV_08671"
"EOG72CDTC",12,"Alpha-actinin,sarcomeric"
"EOG72G92G",12,"Glutamatereceptor,ionotropickainate2"
"EOG72G931",12,"Odorant receptor 22b"
"EOG72G937",12,"Heat shock protein beta-1"
"EOG72VS1J",12,"UPF0183 protein CG7083"
"EOG72ZN88",12,"hypothetical protein D910_01979"
"EOG72ZN8X",12,"Protein G12"
"EOG72ZN91",12,"hypothetical protein SINV_04716"
"EOG732HHC",12,"Putativeglutamyl-tRNA(Gln)amidotransferasesubunitB,mitochondrial"
"EOG7387ZQ",12,"hypothetical protein SINV_06862"
"EOG73880D",12,"hypothetical protein SINV_04663"
"EOG73G0G9",12,"Malate dehydrogenase"
"EOG73JVPR",12,"Glucose-6-phosphate isomerase"
"EOG73NQZM",12,"hypothetical protein EAG_06943"
"EOG73VGF9",12,"hypothetical protein SINV_05252"
"EOG7426WQ",12,"E3 ubiquitin-protein ligase MYLIP"
