ln,morandin.ogg
XLOC_021492,EOG7B65R2
XLOC_017279,EOG790QVJ
RF55_6893,EOG7G7VHS
RF55_3001,EOG78Q44Q
XLOC_024470,EOG7CVZS3
XLOC_024472,EOG7JTGRX
XLOC_020549,EOG7CCMKG
XLOC_015696,EOG75XRFM
RF55_6633,EOG725PBZ
RF55_6632,EOG74NF9Z
RF55_6635,EOG7NSKWW
RF55_6637,EOG7R8BW1
RF55_6636,EOG79SPS0
RF55_6638,EOG75FD8C
RF55_6182,EOG793M3J
RF55_6181,EOG7VTPG9
RF55_6180,EOG793M3X
RF55_7852,EOG7GV2ZW
RF55_7853,EOG7X6VTC
RF55_7856,EOG735CRZ
RF55_7587,EOG7X9R22
RF55_7589,EOG7Q01S3
RF55_7859,EOG7GXZ64
XLOC_015861,EOG7N97Q7
RF55_5984,EOG78Q453
RF55_5985,EOG78Q453
RF55_14206,EOG7T4WDB
RF55_14207,EOG7TR3V0
RF55_6987,EOG779XS7
RF55_6454,EOG7GJG82
RF55_6981,EOG7094SV
RF55_6980,EOG7WX84C
RF55_19005,EOG7RZFJ8
RF55_6989,EOG7107H9
XLOC_015997,EOG7K6ZQ7
RF55_18202,EOG7C04NP
RF55_12331,EOG7M9J9H
RF55_18972,EOG700J34
RF55_18206,EOG7WDWX2
RF55_12336,EOG7K9TZ0
RF55_18755,EOG7RZFJ9
RF55_18756,EOG71ZXW8
XLOC_023901,EOG7M0XKR
RF55_696,EOG78HCN6
RF55_11582,EOG7H7JX4
RF55_11581,EOG79H31K
RF55_11585,EOG7V7G2G
XLOC_001728,EOG7BSD51
XLOC_017188,EOG74NFBP
XLOC_021147,EOG7DK2FQ
XLOC_021144,EOG7DK2FF
XLOC_021143,EOG7X14C0
XLOC_017181,EOG7ZD9PT
XLOC_016638,EOG7WX84M
XLOC_016636,EOG7XMBSM
RF55_19154,EOG7RZFJT
RF55_479,EOG7P62W4
RF55_477,EOG7JTGQJ
RF55_474,EOG725PCF
XLOC_001897,EOG7HF9D1
RF55_470,EOG72VS18
RF55_471,EOG79D6T4
RF55_4178,EOG7WDWWT
RF55_4179,EOG77469J
RF55_4170,EOG747ZCR
RF55_4172,EOG72CDTH
RF55_4176,EOG7S828C
RF55_4177,EOG793M3G
RF55_1986,EOG728JKN
RF55_1984,EOG7HQX3C
RF55_1981,EOG7NKVFC
RF55_10180,EOG72VS29
RF55_10187,EOG7JB4JM
RF55_1989,EOG75BJ0X
XLOC_006368,EOG7RG3CD
RF55_5334,EOG72K59D
RF55_15646,EOG7BSD4X
RF55_13427,EOG7772JC
RF55_4359,EOG7JF0SD
RF55_13424,EOG7H4PPV
RF55_1186,EOG7QGCZK
RF55_13428,EOG7NKVF6
RF55_1183,EOG7WDWX4
XLOC_012245,EOG7SFSQV
RF55_1181,EOG7WDWX4
RF55_10233,EOG7XHGJV
RF55_10231,EOG728JMB
XLOC_019195,EOG7KDQ52
RF55_10236,EOG7G241Z
RF55_10234,EOG7V1QK5
XLOC_013032,EOG7CS3K6
RF55_16176,EOG71KFZ7
XLOC_018892,EOG7HQX3N
RF55_16178,EOG73C479
RF55_18793,EOG76HZW3
XLOC_007004,EOG7FVCJR
RF55_21579,EOG764GXB
RF55_15052,EOG7FVCKJ
RF55_2989,EOG761MNW
XLOC_014985,EOG796GB8
RF55_2634,EOG7FVCJW
RF55_8293,EOG7H1TDX
RF55_2980,EOG70KRJF
RF55_8295,EOG7FZ7SN
RF55_2986,EOG76QQCB
RF55_2632,EOG7D8FQK
RF55_3589,EOG7NPQNT
RF55_3585,EOG7ZSSNQ
RF55_1722,EOG7GNBGF
RF55_1720,EOG7CZV1P
RF55_1727,EOG79SPR4
RF55_1725,EOG7RJZKC
RF55_9539,EOG7HJ5MX
RF55_9536,EOG79WK0B
RF55_2183,EOG7NKVDT
RF55_2182,EOG715ZZH
RF55_2186,EOG7N0N0B
RF55_8129,EOG7MSWHD
RF55_8128,EOG75J8G8
RF55_5407,EOG7BCX64
RF55_8126,EOG7M0XKS
RF55_8125,EOG75XRFB
RF55_5403,EOG7TXVBH
RF55_8121,EOG767C5B
RF55_5400,EOG7107GT
RF55_3760,EOG7W1DXW
RF55_3761,EOG75FD7H
RF55_3762,EOG75J8GQ
RF55_3766,EOG7Z0TQT
RF55_11340,EOG7Z6K6R
RF55_9451,EOG738803
RF55_11342,EOG70D124
RF55_11345,EOG79WK1W
XLOC_014360,EOG7X6VV7
RF55_12699,EOG7QVVZ3
RF55_12697,EOG7P0BCF
RF55_12694,EOG7WMNCV
XLOC_005531,EOG7M0XM1
XLOC_003947,EOG7772JZ
XLOC_006840,EOG7KMFNQ
XLOC_009920,EOG76B7DG
XLOC_009171,EOG715ZZD
RF55_11002,EOG76TKKT
RF55_9989,EOG77T904
RF55_9987,EOG7TN7MK
RF55_11008,EOG7GXZ60
XLOC_016800,EOG7S29S8
XLOC_023176,EOG76HZVP
XLOC_020157,EOG71KFX0
RF55_9343,EOG7JHW0P
RF55_10439,EOG7NPQPC
RF55_4915,EOG7CGGT6
XLOC_005399,EOG7VF6J5
RF55_4913,EOG71ZXVX
RF55_4910,EOG7K9TZ6
RF55_4911,EOG771B2F
RF55_10435,EOG7G5089
RF55_10434,EOG75XRFQ
RF55_4918,EOG793M3F
RF55_10436,EOG77X57M
RF55_6846,EOG7NKVDS
RF55_19968,EOG72CDTT
RF55_10754,EOG7BPHWQ
RF55_18568,EOG7G7VHC
XLOC_002703,EOG7HF9CK
RF55_7465,EOG78WVM2
RF55_7464,EOG77QDQW
RF55_7469,EOG76MV3N
XLOC_010098,EOG7HF9CZ
RF55_8354,EOG7X9R2F
RF55_23064,EOG718V69
RF55_5107,EOG764GXP
RF55_14437,EOG76TKMG
RF55_14436,EOG7426X6
RF55_23201,EOG7R2MDV
XLOC_007823,EOG7T4WDF
XLOC_024623,EOG7CP7B1
XLOC_017048,EOG7JF0SG
RF55_3030,EOG7DCB05
XLOC_019912,EOG7XHGJH
XLOC_019913,EOG7XWZHN
RF55_8720,EOG715ZZ8
RF55_8725,EOG76F3NJ
RF55_8724,EOG7RNTTV
XLOC_010896,EOG79H32H
RF55_1134,EOG7V4KSH
XLOC_005897,EOG7PGPK4
XLOC_005895,EOG70WC81
RF55_8462,EOG74R9JZ
RF55_8463,EOG7N0N0D
RF55_8460,EOG71PB5S
RF55_8464,EOG7N0N0D
RF55_868,EOG7V1QKD
RF55_864,EOG7Q5S85
RF55_866,EOG7BW8CX
RF55_861,EOG7NH06B
RF55_2440,EOG7JTGQZ
RF55_1534,EOG7TR3TS
RF55_4720,EOG7HN1VB
RF55_4722,EOG7M3SV2
RF55_2446,EOG718V64
RF55_1539,EOG7R2MCR
RF55_12109,EOG72P1JC
XLOC_000626,EOG7X6VTN
RF55_12106,EOG7DRSXR
RF55_12104,EOG75J8GH
RF55_12101,EOG74NFB4
XLOC_006279,EOG7FJRVM
RF55_10847,EOG7B65QJ
RF55_14853,EOG76B7CX
RF55_14852,EOG7HQX3K
RF55_14850,EOG7HXNK0
XLOC_011079,EOG70GW97
RF55_22927,EOG7XDM9H
RF55_318,EOG70SH0M
RF55_312,EOG715ZZZ
RF55_311,EOG7TFH45
RF55_315,EOG7VTPG4
RF55_12492,EOG7JQMH5
RF55_3975,EOG71W2NH
RF55_3974,EOG7X9R30
RF55_3976,EOG70SH19
RF55_3971,EOG7BSD4P
RF55_3973,EOG7JF0RK
RF55_3972,EOG725PCN
RF55_4840,EOG7DRSX6
RF55_2374,EOG73G0GG
RF55_2376,EOG7BW8CJ
RF55_2371,EOG7X6VTS
RF55_2372,EOG7FVCJN
XLOC_018138,EOG7CGGTB
XLOC_018137,EOG7NH05V
RF55_17104,EOG7SFSQZ
RF55_8251,EOG718V74
XLOC_007632,EOG7CP793
RF55_4795,EOG7K1769
XLOC_008960,EOG7XDM96
RF55_2841,EOG73ZBP4
XLOC_005702,EOG7X40M8
XLOC_005252,EOG7VQT73
RF55_3393,EOG7426WH
RF55_15066,EOG7J1HSZ
RF55_3397,EOG76F3N5
XLOC_010245,EOG72RWSC
XLOC_020702,EOG715ZZG
XLOC_022969,EOG7G508P
XLOC_022968,EOG7MM51F
XLOC_012860,EOG76HZVS
XLOC_022961,EOG7PW5HN
XLOC_022965,EOG747ZCW
XLOC_022964,EOG7ZM254
XLOC_005113,EOG7Q5S7J
RF55_8911,EOG718V73
RF55_3029,EOG7DCB05
RF55_3027,EOG7QS0P5
RF55_3025,EOG7PS995
RF55_3024,EOG7FVCKQ
RF55_3020,EOG72K5B0
RF55_6614,EOG7PCTC1
XLOC_000363,EOG75R106
RF55_6618,EOG7PW5HP
XLOC_005033,EOG74R9K0
RF55_14232,EOG7SJNZW
RF55_14226,EOG7K43FD
RF55_6472,EOG7KT646
RF55_6471,EOG7133RC
XLOC_004527,EOG7FZ7SV
RF55_6475,EOG72CDTW
RF55_6030,EOG74Z22B
XLOC_014093,EOG7RRQ3D
RF55_9757,EOG7772J9
RF55_6036,EOG799BJR
RF55_15931,EOG703DB6
RF55_15939,EOG7QCHQ4
XLOC_016037,EOG7DRSXQ
RF55_671,EOG7WQHMF
XLOC_001708,EOG7ZD9QC
RF55_676,EOG7F853V
XLOC_023947,EOG7107GF
RF55_678,EOG7FFWMN
RF55_679,EOG7DC9ZV
XLOC_018455,EOG764GXC
RF55_7879,EOG7FVCJR
RF55_7875,EOG7S8291
RF55_414,EOG7VQT7N
RF55_415,EOG7DK2F8
RF55_410,EOG7RC74J
RF55_419,EOG7GNBGD
RF55_4119,EOG7ZPXDP
RF55_4116,EOG71W2NZ
RF55_13199,EOG7N0N0N
RF55_4115,EOG7TBMWK
RF55_4112,EOG7BW8D5
RF55_7703,EOG7DG66C
RF55_7707,EOG76F3N2
RF55_16482,EOG7F58W6
RF55_15661,EOG789N5B
RF55_18727,EOG7N3H73
XLOC_012268,EOG7TFH4J
RF55_17572,EOG7JHW1Q
XLOC_013015,EOG7B91XZ
RF55_10259,EOG7RG3BJ
RF55_15595,EOG7P0BD6
RF55_13506,EOG757NRR
XLOC_022398,EOG7SNJ70
RF55_2960,EOG70SH0J
RF55_2611,EOG7FNN2T
RF55_2610,EOG761MP6
RF55_2967,EOG72CDTN
RF55_2614,EOG77T90S
XLOC_024935,EOG7ZSSN3
RF55_3560,EOG70PMRN
RF55_3564,EOG7JQMH0
RF55_1702,EOG73RM6B
RF55_1703,EOG7BGSF8
RF55_1705,EOG7CCMKF
RF55_1706,EOG7D2Q8V
RF55_1707,EOG70PMS4
RF55_1709,EOG7XWZGX
RF55_9558,EOG7TFH4N
RF55_5397,EOG72K59H
RF55_8144,EOG700J3X
RF55_8147,EOG7KMFNP
RF55_5392,EOG7XDM90
RF55_8143,EOG7QS0P8
XLOC_006483,EOG78HCND
XLOC_006484,EOG78HCND
RF55_8148,EOG7107HF
RF55_5398,EOG7H7JX0
RF55_3707,EOG76HZVR
RF55_3705,EOG73ZBP2
RF55_3703,EOG7WQHMP
RF55_3709,EOG7CCMKH
RF55_9434,EOG7FNN2K
RF55_9435,EOG7GV2ZC
XLOC_000555,EOG70GW93
RF55_12679,EOG71PB5K
RF55_12678,EOG7RJZKS
XLOC_006736,EOG70KRJQ
XLOC_008578,EOG7BKNPD
RF55_20778,EOG7KT63X
RF55_6286,EOG72P1JV
RF55_6287,EOG7QP4F4
RF55_6281,EOG79WK1H
RF55_6282,EOG7ZWNW1
RF55_6283,EOG7M9J9T
RF55_6289,EOG7FZ7SX
XLOC_011877,EOG72VS1V
XLOC_011876,EOG70SH0F
XLOC_021848,EOG7SNJ6X
RF55_4933,EOG7ZPXD2
RF55_10416,EOG7DK2FF
RF55_10415,EOG7SZ4XT
XLOC_002499,EOG7K9TXH
RF55_18556,EOG7FZ7SS
XLOC_005119,EOG7BPHXF
RF55_10736,EOG7CP78Z
XLOC_012018,EOG7CP79V
RF55_13296,EOG7JMR81
XLOC_021261,EOG7H7JWW
RF55_19631,EOG7GBQRQ
RF55_10080,EOG79D6SZ
RF55_10082,EOG7RRQ2J
RF55_10083,EOG7QK868
RF55_10085,EOG70KRJR
RF55_10086,EOG7Z0TQN
XLOC_017023,EOG79KZ9K
RF55_18555,EOG7B65PW
RF55_8707,EOG76B7D6
RF55_8442,EOG7D2Q7Q
RF55_8447,EOG715ZZ9
XLOC_005250,EOG7Q01RT
RF55_8075,EOG7JHW0Z
XLOC_003454,EOG7Z3Q0V
RF55_11429,EOG764GXJ
RF55_880,EOG7RG3BS
RF55_884,EOG7Q2X14
RF55_14141,EOG7MQ17Z
RF55_11422,EOG7F2DNB
RF55_4121,EOG7C30VJ
XLOC_006255,EOG75XRF7
XLOC_006254,EOG7V7G29
XLOC_006256,EOG7094TZ
RF55_4570,EOG7B0F7K
RF55_6892,EOG7S29SX
XLOC_015970,EOG7V4KSQ
XLOC_015971,EOG747ZCW
XLOC_019539,EOG7Q2X12
XLOC_002931,EOG7RVKBB
XLOC_019249,EOG7VTPGX
XLOC_019246,EOG7K6ZPC
RF55_22909,EOG7WHS52
RF55_330,EOG7M3STN
RF55_335,EOG7QK86J
RF55_336,EOG783WPJ
RF55_339,EOG7CS3J0
RF55_338,EOG7VJ2RB
RF55_4258,EOG7DC9ZZ
RF55_4708,EOG73JVPF
RF55_1559,EOG7HQX46
RF55_4702,EOG73VGDX
RF55_4253,EOG7F8543
RF55_1551,EOG751X98
RF55_4704,EOG7ND3XS
RF55_5079,EOG7DCB09
RF55_5072,EOG7TXVB7
RF55_5073,EOG7JXC04
RF55_5077,EOG77MJHV
RF55_5074,EOG7JXC04
RF55_6218,EOG7KQ9VX
RF55_3952,EOG7HXNK6
RF55_3950,EOG78DHD5
RF55_3956,EOG7BGSFB
RF55_15430,EOG7N6CGK
RF55_15431,EOG7MM525
RF55_3959,EOG75N4QM
RF55_3958,EOG75N4QM
RF55_2391,EOG7D8FRK
RF55_6215,EOG7XQ714
XLOC_018111,EOG7VMZ14
XLOC_010323,EOG7X6VV9
XLOC_010326,EOG7XQ71F
RF55_21011,EOG7CP79R
XLOC_023588,EOG74V5SX
XLOC_024122,EOG718V6H
XLOC_010223,EOG7MH8S3
XLOC_012849,EOG7QVVX3
XLOC_020720,EOG7P62W2
RF55_8938,EOG70D11S
RF55_8932,EOG7CVZSH
RF55_8933,EOG70SH0V
RF55_8934,EOG74FPW0
RF55_8937,EOG74JK3B
RF55_3045,EOG7ZD9PJ
RF55_3047,EOG7KHKCX
RF55_3046,EOG7FNN36
XLOC_009582,EOG7VXJPZ
RF55_20697,EOG79PTHP
RF55_6678,EOG7QVVXX
XLOC_020588,EOG715ZZP
RF55_6672,EOG71KFZ5
XLOC_009636,EOG7QP4G5
XLOC_003603,EOG7SBXGZ
RF55_20521,EOG7RZFJJ
RF55_20522,EOG73RM66
RF55_6494,EOG7N97Q7
RF55_6499,EOG72CDTV
XLOC_021454,EOG7NPQP9
XLOC_021984,EOG7JHW16
XLOC_017238,EOG7Q5S88
RF55_15950,EOG7QGCZP
XLOC_023960,EOG71CQFN
RF55_15958,EOG70D11Z
XLOC_023965,EOG7NWG55
RF55_656,EOG7BKNP3
RF55_652,EOG7QK873
RF55_653,EOG76XFTG
RF55_650,EOG7SZ4XT
XLOC_001764,EOG7BKNP4
XLOC_021671,EOG7R8BW3
RF55_7814,EOG7B39FZ
RF55_7813,EOG75FD7G
RF55_7811,EOG75J8G6
RF55_433,EOG72ZN88
RF55_431,EOG7QGCZF
RF55_436,EOG7DRSZ0
RF55_435,EOG7WQHMQ
RF55_8999,EOG7MM51F
RF55_4137,EOG72CDV9
RF55_1944,EOG73JVQ9
RF55_4133,EOG7P62VG
RF55_24330,EOG7H4PQ6
RF55_24335,EOG7N0N0N
RF55_18718,EOG751X8X
RF55_7723,EOG78T0C9
RF55_7724,EOG78T0C9
RF55_7725,EOG7NPQNX
RF55_7726,EOG754SJ3
RF55_7727,EOG78M7WT
RF55_18242,EOG7VF6JC
RF55_14600,EOG78WVMS
RF55_15600,EOG7H4PNW
RF55_15603,EOG728JKH
RF55_4398,EOG74BTMZ
XLOC_015896,EOG7VXJR3
RF55_4396,EOG7DCB03
RF55_13460,EOG71ZXW8
RF55_10277,EOG7107H9
RF55_9678,EOG79SPRC
XLOC_017829,EOG79KZ8M
XLOC_000989,EOG700J45
RF55_18869,EOG76MV3X
XLOC_000986,EOG700J3S
XLOC_024912,EOG7VF6JC
RF55_2946,EOG7ND3XT
RF55_2944,EOG7MQ189
RF55_5660,EOG7M0XKK
RF55_2949,EOG7TJCCD
RF55_2948,EOG7JHW18
RF55_1766,EOG7V4KSV
RF55_1767,EOG70GW9P
RF55_9579,EOG7B0F7V
RF55_1760,EOG7426WR
RF55_1761,EOG7NH05T
RF55_14959,EOG7JF0RN
RF55_9577,EOG7N97QC
RF55_1769,EOG7GJG7S
RF55_5448,EOG76MV4K
RF55_2499,EOG7SJNZX
RF55_2498,EOG7SJNZX
RF55_2495,EOG793M2V
RF55_2494,EOG7N6CG9
RF55_2496,EOG7RJZKQ
RF55_5447,EOG78WVKX
RF55_2490,EOG7N6CFX
RF55_5445,EOG793M31
RF55_9771,EOG7JXC01
RF55_21463,EOG7HBF4R
XLOC_004400,EOG7F854N
XLOC_001165,EOG79H32R
RF55_11384,EOG7M0XM4
RF55_9415,EOG7B65Q6
RF55_9410,EOG7M6P3B
RF55_9411,EOG7FJRTS
RF55_9412,EOG7X14BN
RF55_9413,EOG7133QR
XLOC_014322,EOG7W1DZ5
RF55_12655,EOG7Q2X1D
XLOC_006754,EOG7VJ2S2
XLOC_023357,EOG7CS3JM
RF55_3544,EOG7DZJDT
XLOC_004669,EOG76TKKX
RF55_2230,EOG7P0BCM
RF55_2233,EOG7MH8SD
RF55_2234,EOG76QQBX
XLOC_023138,EOG7R2MD8
RF55_2605,EOG7M0XMC
XLOC_023133,EOG7FZ7TJ
RF55_2607,EOG76TKM5
RF55_3729,EOG76QQBR
RF55_2976,EOG725PBK
RF55_3726,EOG77DT17
RF55_3727,EOG7HTSBQ
RF55_3720,EOG77QDR7
RF55_3721,EOG76F3N3
RF55_4251,EOG7NSKWK
XLOC_024573,EOG7WQHMJ
XLOC_021865,EOG7B0F86
RF55_4250,EOG7NSKWK
RF55_1557,EOG7QGCZH
RF55_3100,EOG7P62V0
RF55_10472,EOG7QVVX3
RF55_15384,EOG7X6VT4
XLOC_007409,EOG78WVMV
XLOC_009131,EOG76HZWK
RF55_13920,EOG70D123
XLOC_007400,EOG7JQMGQ
XLOC_009134,EOG75BJ0F
RF55_6807,EOG7GBQS2
RF55_6805,EOG71KFXV
RF55_6801,EOG7M6P33
RF55_6808,EOG7WHS53
RF55_10712,EOG72G92C
RF55_10713,EOG7B65QG
XLOC_005138,EOG70WC7V
RF55_21802,EOG71KFXT
RF55_10719,EOG7WDWX2
XLOC_005133,EOG7TJCC8
XLOC_024351,EOG7BCX6H
RF55_8895,EOG7X6VTH
RF55_8893,EOG7MM528
RF55_8892,EOG7QGCZ9
RF55_8891,EOG747ZC1
XLOC_015535,EOG7H1TDZ
XLOC_020443,EOG78M7W5
RF55_10803,EOG7JXC0W
RF55_19651,EOG7P62TX
XLOC_017006,EOG7X14BH
XLOC_021244,EOG70KRHS
XLOC_013247,EOG7XHGHZ
RF55_8761,EOG7CKC2T
RF55_8760,EOG7JMR83
RF55_14389,EOG7RVK99
RF55_14384,EOG7VTPG9
RF55_14382,EOG77T8ZR
XLOC_024748,EOG7PPF29
XLOC_003475,EOG7811FG
RF55_14161,EOG7FZ7SM
RF55_11400,EOG7K1768
XLOC_004983,EOG7R8BVZ
RF55_11404,EOG73880F
RF55_9384,EOG7S561J
RF55_541,EOG77QDR8
RF55_17120,EOG7KHKCS
RF55_9383,EOG75R0Z8
XLOC_011523,EOG7K43F5
RF55_8396,EOG7TR3TX
RF55_8397,EOG799BJZ
XLOC_006237,EOG7GV2Z4
XLOC_016757,EOG7DCB00
RF55_817,EOG7N97PH
RF55_8398,EOG7T4WDW
XLOC_001935,EOG70KRJQ
XLOC_001937,EOG7KMFP1
RF55_5829,EOG7GBQR2
RF55_4090,EOG75J8GJ
RF55_4097,EOG735CRT
RF55_12355,EOG7VXJQ8
XLOC_008744,EOG7ZH5Z6
XLOC_006589,EOG7DVP59
RF55_8507,EOG7XHGJ0
RF55_353,EOG73880J
RF55_632,EOG74JK3R
RF55_359,EOG751X9F
RF55_1573,EOG7PGPKH
RF55_1570,EOG7W75FP
RF55_1576,EOG7N6CFT
RF55_4278,EOG7RNTV1
RF55_4270,EOG72RWT9
RF55_1832,EOG7BPHWR
RF55_2000,EOG7B65Q5
RF55_2001,EOG703DBH
RF55_2006,EOG71GKPQ
RF55_5055,EOG7BPHWP
XLOC_007305,EOG7Z9FFC
RF55_2008,EOG7NSKWR
RF55_15418,EOG7X14BJ
RF55_7671,EOG7GJG7F
RF55_15412,EOG7DNXPK
RF55_15414,EOG76HZWR
RF55_4661,EOG7GFM0V
XLOC_007186,EOG7R2MD7
XLOC_007184,EOG7R2MD7
XLOC_007183,EOG7R2MD7
RF55_13229,EOG73C46S
XLOC_018176,EOG7Q01SB
XLOC_024104,EOG7WHS4Q
XLOC_010205,EOG7WB1P6
RF55_11240,EOG75BJ0V
RF55_14300,EOG78Q44K
RF55_11244,EOG7ZWNWM
XLOC_014191,EOG7DG66G
RF55_3069,EOG78DHDB
RF55_3068,EOG7CCMK6
RF55_3063,EOG700J36
RF55_3067,EOG7SJP0B
RF55_3066,EOG754SJC
RF55_6880,EOG718V6J
RF55_290,EOG771B2J
RF55_9601,EOG761MPC
RF55_6123,EOG7ZPXDF
RF55_9602,EOG7WMNCM
RF55_6124,EOG7N97Q9
RF55_6127,EOG7FFWM5
RF55_6654,EOG7BW8DC
RF55_9609,EOG7XHGJW
XLOC_003661,EOG7GXZ6G
RF55_11659,EOG79H31P
RF55_11654,EOG7GV2Z7
RF55_11653,EOG7S561G
RF55_11651,EOG7VBB91
RF55_4878,EOG7JMR89
RF55_4871,EOG7S8280
XLOC_014059,EOG7T4WDK
RF55_4872,EOG7GBQR4
RF55_4875,EOG7CS3K4
RF55_4874,EOG7GNBG1
RF55_4876,EOG72K59J
RF55_980,EOG7QS0PH
RF55_981,EOG7X14BV
RF55_986,EOG73NQZ2
RF55_987,EOG7J4D2P
RF55_984,EOG7QZR4S
RF55_985,EOG7V7G1S
XLOC_001744,EOG77DT21
XLOC_021656,EOG75FD7D
XLOC_021650,EOG7J7892
RF55_7291,EOG7NKVDN
RF55_7837,EOG7CZV12
RF55_7830,EOG7ZSSP1
RF55_7831,EOG7WTCW7
RF55_7296,EOG7M3SV0
RF55_7297,EOG754SJ2
RF55_7298,EOG7JMR7Z
RF55_7529,EOG7K9TXC
RF55_7838,EOG7HQX37
RF55_181,EOG70D11R
RF55_186,EOG7DZJD9
RF55_187,EOG7D8FQP
RF55_185,EOG7N0N0F
RF55_188,EOG7S561V
RF55_189,EOG7VBB9D
RF55_14596,EOG79PTHW
XLOC_007960,EOG7HTSB2
RF55_1962,EOG700J35
RF55_1964,EOG7T7RP0
RF55_7746,EOG72ZN8R
XLOC_013585,EOG7KMFMT
RF55_7742,EOG786RX9
RF55_7743,EOG738802
RF55_7741,EOG7WQHN1
RF55_7748,EOG7SV8PT
RF55_15970,EOG7GNBGS
RF55_13485,EOG7S5616
RF55_24038,EOG7HBF58
XLOC_017614,EOG71600G
RF55_10297,EOG76TKKC
RF55_10296,EOG7M0XMJ
XLOC_022234,EOG7QCHQS
XLOC_024681,EOG7KDQ5C
XLOC_010594,EOG76XFVG
XLOC_010596,EOG7NKVDS
RF55_1293,EOG78Q446
XLOC_022356,EOG7M0XKN
RF55_2929,EOG757NRV
RF55_2928,EOG7R2MD5
RF55_2925,EOG747ZC9
RF55_5607,EOG79KZ8Z
RF55_2926,EOG7T7RNB
RF55_5600,EOG78M7W4
RF55_5603,EOG78WVKT
RF55_16441,EOG7DVP6T
RF55_16448,EOG7P0BCP
RF55_1749,EOG7Q8NH4
RF55_1032,EOG728JKX
RF55_1033,EOG79SPRK
RF55_1746,EOG73NQXP
RF55_1747,EOG7DK2FB
RF55_1036,EOG7CVZSB
RF55_1741,EOG7NSKWC
RF55_1034,EOG77MJGW
RF55_1743,EOG7B39GS
RF55_9596,EOG7K176P
RF55_9599,EOG72VS1X
RF55_9598,EOG7JMR85
RF55_8180,EOG7TFH4V
RF55_8185,EOG7NWG4W
XLOC_011750,EOG7PW5HP
RF55_8188,EOG7JQMGR
XLOC_008355,EOG76TKMB
RF55_16190,EOG7BW8CV
XLOC_020721,EOG7HF9CK
RF55_2690,EOG757NS4
RF55_21444,EOG789N58
XLOC_004461,EOG7X9R2Q
RF55_12634,EOG7DRSXR
RF55_12637,EOG7GV2XZ
XLOC_014879,EOG7D5KGP
RF55_12632,EOG74FPV8
XLOC_006778,EOG7CVZRW
XLOC_023333,EOG7X14BV
XLOC_006770,EOG7R2MD2
RF55_3524,EOG735CRB
RF55_3525,EOG7QGCZB
XLOC_004681,EOG7MQ18B
XLOC_004689,EOG7R2MDW
RF55_2219,EOG764GXN
RF55_2214,EOG7KHKDD
RF55_2212,EOG7JMR7V
RF55_2211,EOG7GXZ5Q
XLOC_023480,EOG7WQHMQ
XLOC_023483,EOG7QS0P8
RF55_3294,EOG72K59B
RF55_3295,EOG75TW64
RF55_3296,EOG7SNJ6X
XLOC_007797,EOG764GX1
XLOC_008828,EOG7M0XMN
RF55_10908,EOG718V67
XLOC_002457,EOG71GKPM
XLOC_002456,EOG7QVVXR
XLOC_005485,EOG7WDWXM
RF55_10456,EOG7DZJDG
RF55_10454,EOG77HP89
RF55_10452,EOG7S29RZ
XLOC_013614,EOG7FVCJP
RF55_15367,EOG7RC74S
RF55_13904,EOG7KX2CD
RF55_13905,EOG70SH0F
XLOC_011961,EOG79KZ8F
RF55_7190,EOG78Q44M
RF55_8324,EOG73ZBNB
XLOC_015516,EOG7GFM01
RF55_5135,EOG7N97PV
XLOC_020462,EOG7V7G1M
RF55_4013,EOG75R0ZC
RF55_7999,EOG7811G4
RF55_7998,EOG7811G4
XLOC_012053,EOG7M0XKX
RF55_7991,EOG7RVK98
RF55_7990,EOG7RZFK0
RF55_8749,EOG7QS0P7
RF55_8748,EOG7Q2X18
RF55_1125,EOG747ZC6
RF55_8747,EOG7TV02Q
RF55_13090,EOG757NRQ
RF55_4336,EOG7C30VX
RF55_9839,EOG7M6P2M
RF55_6829,EOG74BTMC
RF55_6824,EOG7R8BVJ
RF55_6825,EOG7JHW1Q
RF55_6820,EOG783WQ7
RF55_16129,EOG7Z6K71
XLOC_024761,EOG74V5SN
RF55_8407,EOG7NH06G
RF55_8409,EOG7MH8SJ
XLOC_003411,EOG7J4D1X
XLOC_001482,EOG7N6CGM
RF55_14105,EOG7ZSSMX
RF55_11464,EOG764GXC
RF55_11461,EOG73NQXM
RF55_11460,EOG74V5ST
RF55_11462,EOG70SH10
RF55_11469,EOG7CGGTT
XLOC_007881,EOG7P8Z35
RF55_19677,EOG7HF9CV
XLOC_019752,EOG7N97PP
RF55_5314,EOG7QS0P4
XLOC_016224,EOG7GXZ62
XLOC_006212,EOG79H327
XLOC_016223,EOG72K59S
RF55_10854,EOG7JQMGD
XLOC_002481,EOG7GV301
RF55_4079,EOG73VGDT
XLOC_019570,EOG7811GB
RF55_14824,EOG7ZPXF9
RF55_379,EOG751X9D
RF55_375,EOG7XMBRW
RF55_374,EOG7B65Q7
RF55_376,EOG7TR3TZ
RF55_371,EOG7WMND1
RF55_372,EOG7JMR8C
RF55_13342,EOG7DRSX4
XLOC_007220,EOG79KZ8X
RF55_13346,EOG7X6VV5
XLOC_007226,EOG7B91Z5
XLOC_007225,EOG7107H5
XLOC_007224,EOG7SNJ74
RF55_4215,EOG7FC1C8
RF55_4214,EOG7CP79P
