gene,NCBI_GeneID,NCBI_TranscriptID,CG_OE,GC_OE,Gene_body_methylation
GB55889,LOC409868,XM_006561235.2,1.224414075,0.771380867,0.00368342
GB55889,LOC409868,XM_006561236.2,1.224737468,0.771584605,0.00368342
GB52168,LOC411355,XM_006561239.2,1.03689964,1.150015964,0.0588955
NA,LOC550870,XM_006561241.2,1.139154106,1.007823056,NA
GB52189,LOC413328,XM_006561244.2,1.11767602,1.1084007,0.05263115
GB52189,LOC413328,XM_006561249.2,1.112656567,1.122166452,0.05263115
GB52189,LOC413328,XM_006561251.2,0.923569719,1.142489949,0.04855363
GB52165,LOC409028,XM_006561252.2,0.576931707,1.325930766,0.24500929
GB52195,LOC411673,XM_006561253.2,0.945091394,1.07658237,0.03199489
GB52195,LOC411673,XM_006561254.2,0.843834639,1.079323375,0.01899867
NA,LOC102655446,XM_006561259.2,1.006972519,1.13728661,NA
GB52198,LOC551658,XM_006561263.2,0.511835548,0.988372093,0.18176033
GB52204,LOC409183,XM_006561268.2,0.75729176,1.553418995,0.1515116
NA,LOC102655953,XM_006561270.2,1.429571941,1.055160242,NA
GB52157,LOC412099,XM_006561271.2,1.106118547,0.980218875,0.00353182
GB52157,LOC412099,XM_006561272.2,1.101491537,0.9708061,0.00352384
GB52157,LOC412099,XM_006561273.2,1.09970929,0.978554877,0.00353182
GB52209,LOC725630,XM_006561274.2,0.946906538,1.165423431,0.08873486
GB52210,LOC412932,XM_006561276.2,0.638196634,1.164708856,0.35062023
GB52210,LOC412932,XM_006561277.2,0.604541782,1.139993075,0.35062023
GB52211,LOC552046,XM_006561278.1,0.782855151,1.35380966,0.13472824
GB52211,LOC552046,XM_006561279.1,0.759194097,1.340834736,0.13472824
NA,LOC412933,XM_006561281.2,0.747771385,1.495542769,NA
NA,LOC412933,XM_006561282.2,0.789237668,1.504484305,NA
GB52152,LOC725570,XM_006561283.2,1.119363395,1.298461538,0.0022995
GB52152,LOC725570,XM_006561284.2,1.189419276,1.263757981,0.00333637
GB52152,LOC725570,XM_006561285.2,1.119569396,1.279507882,0.00236713
GB52152,LOC725570,XM_006561286.2,1.108266065,1.296907097,0.00240246
GB52152,LOC725570,XM_006561288.2,1.16796127,1.319363657,0.00333637
GB52152,LOC725570,XM_006561290.2,1.149834446,1.288607568,0.00333637
GB52212,LOC409675,XM_006561291.2,0.850330685,0.72487206,0.08171071
GB52213,LOC725800,XM_006561295.2,1.261419742,0.941121939,0.00314219
GB52213,LOC725800,XM_006561296.2,1.2841986,0.942864767,0.00323135
GB52144,LOC725964,XM_006561297.2,1.213597056,0.895750208,0.00332711
GB52144,LOC725964,XM_006561299.2,1.341414529,0.931537867,0.00336462
GB52144,LOC725964,XM_006561301.2,1.216145114,0.877630494,0.00348686
GB52144,LOC725964,XM_006561302.2,1.221685809,0.8745161,0.00349692
GB52205,LOC100577894,XM_006561306.2,1.165779527,0.83936126,0.00272503
GB47635,LOC685996,XM_006561307.2,0.682856238,1.037941482,0.40525044
GB47635,LOC685996,XM_006561308.2,0.659942363,1.028282287,0.49197633
GB47635,LOC685996,XM_006561309.2,0.5331785,0.79976775,0.3877386
NA,LOC107963958,XM_006561310.2,1.057946963,1.072243543,NA
NA,LOC107963958,XM_006561311.2,1.086549197,1.103526528,NA
NA,LOC107963958,XM_006561312.2,1.089094017,1.072592593,NA
NA,LOC107963958,XM_006561313.2,1.139917833,1.139917833,NA
NA,LOC107963958,XM_006561314.2,1.086013072,1.121045752,NA
GB47602,LOC411815,XM_006561315.2,0.408296681,1.287704918,0.68267528
GB47599,LOC411816,XM_006561317.2,0.39157558,1.223673687,0.41462182
GB47604,LOC552009,XM_006561318.2,0.707574305,0.943432407,0.31056022
GB47604,LOC552009,XM_006561320.2,0.674603175,0.952380952,0.31056022
GB47604,LOC552009,XM_006561322.2,0.634465044,1.073710074,0.56197562
GB47596,LOC100577886,XM_006561323.2,0.835855885,1.053178415,0.20862418
NA,LOC102655538,XM_006561324.2,0.741258741,1.630769231,NA
GB47593,LOC551547,XM_006561325.2,0.590674415,1.312609812,0.43684028
GB47592,LOC552597,XM_006561326.2,0.40859375,1.430078125,0.15945946
GB47591,LOC726096,XM_006561328.2,0.816983523,1.18833967,0.46088037
GB47615,LOC726021,XM_006561329.2,1.230588312,0.913504207,0.01087746
GB47615,LOC726021,XM_006561330.2,1.237800597,0.910259516,0.01087746
GB47615,LOC726021,XM_006561331.2,1.2314111,0.909349735,0.01087746
GB47615,LOC726021,XM_006561332.2,1.23532841,0.913233579,0.01087746
GB47615,LOC726021,XM_006561333.2,1.250626566,0.9262662,0.01256994
GB47615,LOC726021,XM_006561334.2,1.230545455,0.919111111,0.01087746
GB47615,LOC726021,XM_006561335.2,1.149219575,0.8825065,0.00726499
GB47615,LOC726021,XM_006561336.2,1.155430321,0.859855123,0.00959994
GB47615,LOC726021,XM_006561337.2,1.154464365,0.862000059,0.00959994
GB47615,LOC726021,XM_006561338.2,1.1717809,0.867985852,0.00959994
GB47589,LOC409891,XM_006561339.2,0.735778705,1.001001261,0.18819996
GB47579,LOC725470,XM_006561355.2,1.122009253,1.079933906,0.00180982
GB47579,LOC725470,XM_006561356.2,1.127583785,1.114623052,0.06539061
GB47579,LOC725470,XM_006561357.2,1.113221449,1.05613317,0.00176603
GB47579,LOC725470,XM_006561358.2,1.504442335,1.111979117,0.00236965
GB47627,LOC412357,XM_006561360.2,0.48712566,1.339595564,0.26434483
GB47627,LOC412357,XM_006561361.2,0.478952742,1.37299786,0.26434483
GB47627,LOC412357,XM_006561362.2,0.472750504,1.400068799,0.26434483
GB47577,LOC551151,XM_006561363.2,0.238234764,1.334114677,0.28909923
GB47577,LOC551151,XM_006561364.2,0.205255792,1.33416265,0.28909923
GB47575,LOC412529,XM_006561365.2,0.798984669,0.945736955,0.41889133
GB47575,LOC412529,XM_006561366.2,0.803929318,0.957873231,0.35740913
NA,LOC102654610,XM_006561376.2,0.140806562,1.408065619,NA
NA,LOC725883,XM_006561377.2,1.538784948,1.410552869,NA
GB47633,LOC412608,XM_006561380.2,0.736162233,1.030627127,0.24814878
GB47571,LOC412563,XM_006561381.2,0.584814285,1.429546029,0.41632858
GB47636,LOC551429,XM_006561383.2,0.785387846,1.076272233,0.45854029
GB47636,LOC551429,XM_006561384.2,0.75957401,1.08982358,0.4442109
GB47568,LOC725118,XM_006561385.2,1.074934661,1.048194993,0.04806373
GB47567,LOC413852,XM_006561386.2,0.585742574,1.464356436,0.41473963
NA,LOC102655928,XM_006561394.1,1.469203311,1.219715957,NA
NA,LOC102655928,XM_006561396.2,1.434282859,0.884474429,NA
GB47651,LOC413120,XM_006561398.2,0.788636364,1.357188161,0.27904473
GB47652,LOC413119,XM_006561404.2,1.242878456,1.024663154,0.04086665
GB47652,LOC413119,XM_006561405.2,1.24176823,1.029993803,0.04108875
NA,LOC102656840,XM_006561406.2,1.093688576,0.777734099,NA
GB47547,LOC100578237,XM_006561407.2,1.020477642,1.127896341,0.13721083
GB47549,LOC409777,XM_006561409.2,1.072142216,0.960750817,0.00305773
NA,LOC102653780,XM_006561411.2,1.043414461,0.787137225,NA
GB47545,LOC410069,XM_006561412.2,1.601893491,0.961136095,0.00075188
NA,LOC102654007,XM_006561415.1,0.401913876,1.339712919,NA
GB54525,LOC409633,XM_006561423.2,1.095467033,0.896291209,0.00234882
GB54519,LOC100577080,XM_006561424.2,1.410473962,0.738038701,0.00451415
GB54519,LOC100577080,XM_006561425.2,1.405365386,0.744509044,0.00451415
GB54533,LOC408959,XM_006561426.2,1.272231108,0.986914573,0.00320182
GB54533,LOC408959,XM_006561427.2,1.281734879,0.982663407,0.00320182
GB54533,LOC408959,XM_006561428.2,1.268477275,0.965994233,0.00320182
GB54533,LOC408959,XM_006561429.2,1.254379237,1.008236896,0.00348739
GB54533,LOC408959,XM_006561430.2,1.24771437,0.98245226,0.00348342
GB54516,LOC100577150,XM_006561432.2,1.395958323,0.961367524,0.00340672
GB54537,LOC408960,XM_006561437.2,1.292406682,0.993708461,0.0033545
GB54537,LOC408960,XM_006561438.2,1.293619094,0.994640663,0.0033545
GB54538,LOC411248,XM_006561439.2,1.322640175,0.847983015,0.00299662
GB54538,LOC411248,XM_006561440.2,1.364132445,0.86451192,0.0029317
GB54538,LOC411248,XM_006561441.2,1.35498102,0.85439809,0.00311792
GB54538,LOC411248,XM_006561442.2,1.315618381,0.84886878,0.00299662
GB54538,LOC411248,XM_006561443.2,1.346187172,0.847066082,0.00294929
GB54538,LOC411248,XM_006561444.2,1.355886142,0.851701589,0.0029317
GB54538,LOC411248,XM_006561445.2,1.335436986,0.843865089,0.00311054
GB54538,LOC411248,XM_006561446.2,1.334718399,0.846140498,0.00311054
GB54538,LOC411248,XM_006561447.2,1.337961061,0.847192557,0.00311054
GB54538,LOC411248,XM_006561448.2,1.339072046,0.845152029,0.00311054
GB54538,LOC411248,XM_006561449.2,1.308687877,0.82205394,0.00316588
GB54511,LOC411250,XM_006561450.2,1.280228227,1.133450468,0.01645901
GB54506,LOC411253,XM_006561451.2,1.223715092,0.729200089,0.003028
GB54543,LOC411991,XM_006561453.2,0.982501297,1.054551392,0.01019255
GB54543,LOC411991,XM_006561454.2,0.95414314,1.041494272,0.01019255
GB54543,LOC411991,XM_006561455.2,0.979922342,1.042337778,0.01016712
NA,LOC102656369,XM_006561463.2,0.947664721,1.006893766,NA
NA,LOC100577724,XM_006561468.2,0.601104672,1.423668961,NA
NA,LOC102656645,XM_006561470.2,1.048870854,1.302046577,NA
GB54502,LOC725803,XM_006561471.2,1.281840634,0.902378786,0.00334985
GB54502,LOC725803,XM_006561472.2,1.285554801,0.903172625,0.00334985
GB54502,LOC725803,XM_006561473.2,1.285940646,0.908002452,0.00326574
GB54502,LOC725803,XM_006561475.2,1.289240589,0.908492901,0.00326574
GB54502,LOC725803,XM_006561476.2,1.272565806,0.909631876,0.00334985
GB54551,LOC725870,XM_006561477.2,1.183859415,0.878110599,0.0028639
GB54551,LOC725870,XM_006561478.2,1.19754334,0.874396724,0.00290512
GB54499,LOC411261,XM_006561479.2,0.305143854,1.13920372,0.26922599
NA,LOC102653762,XM_006561481.2,1.249309454,1.019844452,NA
GB54556,LOC411262,XM_006561489.2,1.191848894,1.204135996,0.01828451
NA,LOC100578042,XM_006561494.2,1.541755618,0.940470927,NA
GB52266,LOC408618,XM_006561495.2,1.157427997,0.949452654,0.0031829
GB52267,LOC100577895,XM_006561496.2,1.543412997,0.978749706,0.00354976
GB42679,LOC406126,XM_006561498.2,1.119552752,1.209116972,0.23733234
GB42644,LOC406153,XM_006561501.2,1.540532081,0.863849765,0.00352807
GB42644,LOC406153,XM_006561502.2,1.538227253,0.866606903,0.00352807
GB42577,LOC408995,XM_006561504.2,1.321358829,0.841378058,0.00325397
GB42577,LOC408995,XM_006561505.2,1.326514884,0.842860203,0.00325397
GB42577,LOC408995,XM_006561506.2,1.325212495,0.841000237,0.00325397
GB42577,LOC408995,XM_006561507.2,1.321409707,0.840382619,0.00325397
GB42866,LOC409012,XM_006561508.2,1.135668734,1.094603405,0.0037125
GB42866,LOC409012,XM_006561509.2,1.158210965,1.083923381,0.00371344
GB42728,LOC409018,XM_006561510.2,1.417020663,1.012375754,0.01494659
GB42728,LOC409018,XM_006561511.2,1.415572063,1.012866218,0.01494659
GB42728,LOC409018,XM_006561512.2,1.416619796,1.014275297,0.01494659
GB42728,LOC409018,XM_006561513.2,1.417554919,1.013413992,0.01494659
GB42728,LOC409018,XM_006561514.2,1.419723933,1.015401259,0.01494659
GB42728,LOC409018,XM_006561515.2,1.417368473,1.01371661,0.01494659
GB42728,LOC409018,XM_006561516.2,1.417151846,1.015318747,0.01494659
GB42728,LOC409018,XM_006561517.2,1.420280636,1.008337767,0.01494659
GB42728,LOC409018,XM_006561518.2,1.417867265,1.017798772,0.01494659
GB42728,LOC409018,XM_006561519.2,1.420267981,1.016451247,0.01494659
GB42728,LOC409018,XM_006561520.2,1.214398796,0.955758121,0.01662107
GB42728,LOC409018,XM_006561521.2,1.414762752,1.014473507,0.01494659
GB42728,LOC409018,XM_006561522.2,1.420633527,1.009681033,0.01494659
GB42728,LOC409018,XM_006561523.2,1.419171168,1.010179261,0.01494659
GB42728,LOC409018,XM_006561524.2,1.21341928,0.958175825,0.01662107
GB42728,LOC409018,XM_006561525.2,1.214424149,0.9569419,0.01662107
GB42728,LOC409018,XM_006561526.2,1.212580697,0.957513639,0.01662107
GB42728,LOC409018,XM_006561527.2,1.217216202,0.959572106,0.01662107
GB42728,LOC409018,XM_006561528.2,1.215367566,0.960140377,0.01662107
GB42728,LOC409018,XM_006561529.2,1.213437524,0.95936769,0.01662107
GB42728,LOC409018,XM_006561530.2,1.217253699,0.960775495,0.01662107
GB42728,LOC409018,XM_006561531.2,1.42150109,1.015137191,0.01494659
GB42728,LOC409018,XM_006561532.2,1.157535003,0.954303667,0.0213586
GB42728,LOC409018,XM_006561533.2,1.214407875,0.963783431,0.01662107
GB42728,LOC409018,XM_006561535.2,1.162976891,0.958790108,0.0213586
GB42728,LOC409018,XM_006561537.2,1.421091654,1.014844801,0.01494659
GB42728,LOC409018,XM_006561538.2,1.419488079,1.009961149,0.01494659
GB42728,LOC409018,XM_006561539.2,1.421243777,1.017833971,0.01494659
GB42728,LOC409018,XM_006561540.2,1.420373998,1.012344906,0.01494659
GB42728,LOC409018,XM_006561541.2,1.41890277,1.01284028,0.01494659
GB42728,LOC409018,XM_006561542.2,1.417962815,1.013712263,0.01494659
GB42728,LOC409018,XM_006561543.2,1.422215892,1.013000679,0.01494659
GB42728,LOC409018,XM_006561544.2,1.419976086,1.014268633,0.01494659
GB42728,LOC409018,XM_006561545.2,1.42276509,1.014049112,0.01494659
GB42692,LOC409227,XM_006561546.2,1.335506901,1.071340701,0.00309156
GB42692,LOC409227,XM_006561547.2,1.348525695,1.066111937,0.00320195
GB42692,LOC409227,XM_006561548.2,1.320018116,1.073913043,0.00309156
GB42692,LOC409227,XM_006561549.2,1.321627105,1.055825005,0.00314559
GB42692,LOC409227,XM_006561550.2,1.382609338,1.084256797,0.00307379
GB42692,LOC409227,XM_006561551.2,1.045587368,0.869992543,0.00299583
GB42692,LOC409227,XM_006561552.2,1.031553313,0.855629492,0.00299583
GB42692,LOC409227,XM_006561553.2,1.09691539,0.983441384,0.00313541
GB42692,LOC409227,XM_006561554.2,1.106159919,0.990734536,0.00313541
GB42885,LOC411321,XM_006561555.2,1.3653175,0.906074341,0.00326021
GB42885,LOC411321,XM_006561556.2,1.365518851,0.906207965,0.00326021
GB42606,LOC411323,XM_006561559.1,1.32891837,0.887296107,0.00286437
GB42606,LOC411323,XM_006561560.2,1.354987938,0.900668453,0.00284186
GB42606,LOC411323,XM_006561561.1,1.338643963,0.891073033,0.00286295
GB42606,LOC411323,XM_006561562.1,1.405252107,0.889293871,0.00286295
GB42808,LOC724137,XM_006561563.2,1.164771328,0.919110466,0.00486767
GB42808,LOC724137,XM_006561564.2,1.173901651,0.832165837,0.00482507
GB42808,LOC724137,XM_006561565.2,1.175991993,0.923993709,0.00486767
NA,LOC102654691,XM_006561566.2,0.605993341,1.002219756,NA
GB42747,LOC411476,XM_006561567.2,0.554594595,1.128648649,0.12908667
GB42747,LOC411476,XM_006561568.2,0.622484402,1.148527559,0.12908667
GB42747,LOC411476,XM_006561569.2,0.547109724,1.133298713,0.12908667
GB42747,LOC411476,XM_006561570.2,0.473324345,1.135978428,0.12402445
GB42745,LOC100578713,XM_006561571.2,0.368972746,0.368972746,0.45022928
GB42748,LOC411477,XM_006561572.2,0.460483496,1.118317062,0.46080231
GB42750,LOC726608,XM_006561573.2,0.416085773,1.029264806,0.34297902
GB42751,LOC726642,XM_006561574.2,0.755083448,0.986231442,0.18787195
GB42740,LOC412091,XM_006561575.2,1.207159024,0.898217852,0.00387114
GB42739,LOC724718,XM_006561580.2,0.584744495,1.262305576,0.17090641
GB42739,LOC724718,XM_006561581.2,0.583131173,1.277334951,0.14977495
GB42739,LOC724718,XM_006561582.2,0.551566508,1.271407544,0.17990148
GB42739,LOC724718,XM_006561584.2,0.554553367,1.328835427,0.13005345
GB42757,LOC552414,XM_006561585.2,1.083868332,0.764331678,0.00332487
GB42757,LOC552414,XM_006561586.2,1.083231038,0.767827251,0.00332487
GB42757,LOC552414,XM_006561587.2,1.092288056,0.766343329,0.00332487
GB42757,LOC552414,XM_006561588.2,1.058151486,0.720507707,0.00372959
GB42758,LOC724315,XM_006561589.2,1.327185629,0.820274451,0.00302948
GB42759,LOC552433,XM_006561591.2,0.57472588,1.553888489,0.39968701
GB42736,LOC552462,XM_006561595.2,0.797488941,1.073542805,0.26303743
NA,LOC102655945,XM_006561596.2,1.338030638,0.851474042,NA
GB42764,LOC100576640,XM_006561599.2,1.422204347,0.87196461,0.00783326
NA,LOC100576876,XM_006561605.1,1.098442966,0.983283623,NA
NA,LOC100576876,XM_006561606.1,1.114169477,0.953653535,NA
GB42732,LOC409515,XM_006561607.2,1.051928783,0.87830947,0.02547134
GB42732,LOC409515,XM_006561608.2,1.003698557,0.981143534,0.02400643
GB42732,LOC409515,XM_006561609.2,1.065174624,0.906980373,0.02529133
GB42732,LOC409515,XM_006561610.2,1.070309041,1.091295493,0.02392849
GB42732,LOC409515,XM_006561611.2,0.993790962,1.040013798,0.02392849
GB42725,LOC409019,XM_006561612.2,0.795726496,1.507692308,0.19682619
GB42770,LOC726137,XM_006561613.2,0.823363562,0.928922993,0.47186831
GB42772,LOC726029,XM_006561614.2,0.615250545,1.333042847,0.28302893
NA,LOC102653793,XM_006561615.2,0.386604932,1.09538064,NA
GB42773,LOC411923,XM_006561617.2,0.617414959,1.220129562,0.2963094
GB42723,LOC411924,XM_006561618.2,0.616194332,1.463461538,0.09868237
GB42723,LOC411924,XM_006561619.2,0.581818182,1.236363636,0.08528557
NA,LOC411879,XM_006561620.2,1.143554018,1.25790942,NA
GB42720,LOC552515,XM_006561621.2,0.752392106,1.094388518,0.24443559
GB42719,LOC725067,XM_006561622.2,0.760361232,1.292614095,0.29951419
GB42780,LOC725076,XM_006561625.1,1.139317889,1.089782329,0.20233497
GB42781,LOC412961,XM_006561626.2,1.015599071,1.158977763,0.26840048
GB42781,LOC412961,XM_006561627.2,1.019611004,1.189546171,0.26840048
GB42783,LOC412960,XM_006561628.2,1.358377997,0.889971791,0.00376034
GB42786,LOC411371,XM_006561629.2,1.394225076,1.140729608,0.09690153
GB42786,LOC411371,XM_006561630.2,1.405570307,1.183021675,0.09690153
GB42786,LOC411371,XM_006561631.2,1.411910461,1.176592051,0.09690153
GB42787,LOC100576271,XM_006561632.2,1.34315716,0.804126984,0.00295027
GB42787,LOC100576271,XM_006561633.2,1.36864124,0.817945357,0.00279036
GB42787,LOC100576271,XM_006561634.2,1.360897203,0.811130784,0.00296014
GB42787,LOC100576271,XM_006561635.2,1.352851325,0.821094735,0.0026201
GB42787,LOC100576271,XM_006561636.2,1.354262485,0.814123113,0.0026201
GB42787,LOC100576271,XM_006561637.2,1.372315951,0.838637526,0.00295027
GB42787,LOC100576271,XM_006561638.2,1.404996627,0.847579487,0.00256602
GB42787,LOC100576271,XM_006561639.2,1.381485593,0.845636636,0.0026201
GB42790,LOC725671,XM_006561640.2,1.222681006,0.737490131,0.00289246
GB42708,LOC409804,XM_006561641.2,1.44904843,1.176670905,0.05137355
GB42792,LOC409805,XM_006561642.2,1.250805461,1.156995052,0.00333503
GB42792,LOC409805,XM_006561643.2,1.327182129,1.135300375,0.00337924
GB42792,LOC409805,XM_006561644.2,1.148719601,1.182505472,0.00341649
GB42792,LOC409805,XM_006561645.2,1.285546677,1.104483765,0.00333503
GB42707,LOC413181,XM_006561646.2,0.677077445,1.160704191,0.36030265
GB42706,LOC412770,XM_006561649.2,1.259972951,1.059642523,0.01498358
GB42706,LOC412770,XM_006561650.2,1.006157305,0.935134436,0.04573176
GB42706,LOC412770,XM_006561651.2,1.031864648,0.940433604,0.0230778
GB42706,LOC412770,XM_006561652.2,1.012539185,0.929153605,0.04573176
GB42706,LOC412770,XM_006561653.2,1.064044271,0.910470871,0.01498358
GB42705,LOC412769,XM_006561654.2,1.077366255,0.918930041,0.00384313
NA,LOC102655890,XM_006561655.2,1.390572391,1.072727273,NA
GB42704,LOC412768,XM_006561656.2,1.341904928,1.033266795,0.00384648
NA,LOC102656101,XM_006561657.2,1.348311339,0.884829316,NA
NA,LOC102656352,XM_006561658.2,1.620911854,1.052540165,NA
GB42804,LOC412763,XM_006561660.2,1.146236564,0.822475008,0.00296875
GB42804,LOC412763,XM_006561661.2,1.14694497,0.820971136,0.00296875
GB42804,LOC412763,XM_006561662.2,1.154955456,0.819645808,0.00296875
GB42800,LOC727028,XM_006561664.2,1.541707238,0.912690685,0.00223619
GB42696,LOC409599,XM_006561665.2,0.828853047,0.994623656,0.13907499
GB42696,LOC409599,XM_006561666.2,0.765046168,1.000444988,0.16047114
NA,LOC102653672,XM_006561669.2,1.472972973,0.93477131,NA
NA,LOC100577252,XM_006561670.2,0.501363541,1.370393679,NA
NA,LOC724583,XM_006561672.2,1.092543681,0.874034945,NA
GB42814,LOC724440,XM_006561673.2,0.551583093,1.43949734,0.18394881
GB42682,LOC100577358,XM_006561677.2,0.594811996,0.892217993,0.3219052
GB42681,LOC413821,XM_006561678.1,0.498828095,1.019826328,0.38670013
GB42681,LOC413821,XM_006561679.2,0.491990847,0.995423341,0.43004524
GB42681,LOC413821,XM_006561680.2,0.490852709,0.993120598,0.43004524
GB42820,LOC552341,XM_006561684.2,1.083968972,1.21616031,0.21333205
GB42678,LOC727324,XM_006561685.2,1.458984375,0.965806558,0.00453148
GB42676,LOC412276,XM_006561686.2,0.598870056,1.289873968,0.21841129
GB42674,LOC552235,XM_006561687.2,0.769194757,1.204588015,0.17314531
GB42673,LOC725026,XM_006561689.2,1.385224971,0.943559038,0.00359993
GB42673,LOC725026,XM_006561690.2,1.343011139,0.902335609,0.00295596
GB42673,LOC725026,XM_006561691.2,1.264084507,0.911798661,0.00295596
GB42673,LOC725026,XM_006561692.2,1.337692831,0.914090101,0.00420157
GB42673,LOC725026,XM_006561694.2,1.388090192,0.889245279,0.00331587
GB42823,LOC100577440,XM_006561696.2,1.514074074,1.324814815,0.00354232
GB42823,LOC100577440,XM_006561697.2,1.651758461,1.179827472,0.0041046
GB42825,LOC724895,XM_006561698.2,1.518667892,0.788918385,0.00374497
GB42668,LOC724663,XM_006561704.2,0.908592032,1.398943287,0.16604804
NA,LOC102656074,XM_006561705.2,1.117306763,1.101570048,NA
NA,LOC102656074,XM_006561706.2,1.126219184,1.110130338,NA
NA,LOC102656074,XM_006561707.2,1.094698523,1.353445447,NA
NA,LOC102656074,XM_006561709.2,1.102017217,1.367317658,NA
NA,LOC102656074,XM_006561710.2,1.051887672,1.262265207,NA
GB42835,LOC409267,XM_006561711.2,0.862680863,1.306002973,0.16960706
GB42837,LOC552245,XM_006561712.2,0.622634339,0.965083226,0.44576396
GB42838,LOC552289,XM_006561714.2,1.138211507,1.061478147,0.20637899
GB42838,LOC552289,XM_006561715.2,1.09929078,0.929162445,0.20951219
GB42838,LOC552289,XM_006561716.2,1.067221892,0.920478882,0.20810606
GB42838,LOC552289,XM_006561717.2,1.120883595,0.936122563,0.20951219
GB42838,LOC552289,XM_006561718.2,0.696305281,1.003498787,0.16676634
NA,LOC100579026,XM_006561719.2,1.374409983,0.890921886,NA
GB42840,LOC725596,XM_006561721.2,0.829883785,1.009952909,0.11735453
GB42840,LOC725596,XM_006561722.2,0.824070763,1.012429794,0.11735453
GB42840,LOC725596,XM_006561723.2,0.835445566,1.008839929,0.11735453
GB42840,LOC725596,XM_006561724.2,0.837089779,1.010825394,0.11735453
NA,LOC102656893,XM_006561725.2,0.691747573,1.106796117,NA
GB42656,LOC552345,XM_006561726.2,0.818426674,1.43224668,0.22195127
GB42656,LOC552345,XM_006561727.2,0.821403092,1.418787158,0.22195127
GB42659,LOC412714,XM_006561729.2,1.173943761,1.136074608,0.00210262
GB42659,LOC412714,XM_006561731.2,1.149290221,1.11033123,0.00210262
GB42841,LOC412025,XM_006561732.2,0.526627364,1.436256448,0.4334809
GB42844,LOC409217,XM_006561734.2,0.674613223,1.264899793,0.21366245
GB42844,LOC409217,XM_006561735.2,0.581404774,1.297778512,0.28259776
GB42844,LOC409217,XM_006561736.2,0.514779892,1.251851102,0.32417771
GB42848,LOC726030,XM_006561739.2,0.336836993,1.305243346,0.0980803
GB42647,LOC411336,XM_006561740.2,1.367304099,0.87317935,0.00343066
GB42647,LOC411336,XM_006561741.2,1.301423276,0.914513653,0.00487347
GB42647,LOC411336,XM_006561743.2,1.266144581,0.904388987,0.00487347
NA,LOC726167,XM_006561745.2,1.230210203,1.020174314,NA
NA,LOC726167,XM_006561746.2,1.231601398,1.021327988,NA
NA,LOC726167,XM_006561747.2,1.214155713,1.054398382,NA
GB42851,LOC100578227,XM_006561748.2,1.72566603,1.135001819,0.00237079
NA,LOC107963984,XM_006561749.2,1.485804218,0.804291625,NA
GB42637,LOC100576935,XM_006561753.2,1.618479182,0.755290285,0.0033559
NA,LOC410063,XM_006561754.2,1.307210801,0.75379309,NA
GB42643,LOC100578091,XM_006561758.2,1.518021539,0.875781657,0.00387106
GB42855,LOC413917,XM_006561765.2,0.386696686,1.366328291,0.28677625
NA,LOC726515,XM_006561766.2,0.40563784,1.460296226,NA
GB42632,LOC413768,XM_006561768.2,1.151310815,1.108028454,0.0093298
GB42632,LOC413768,XM_006561769.2,1.160407905,1.116783548,0.0093298
NA,LOC411335,XM_006561773.2,0,2.040747234,NA
NA,LOC102656006,XM_006561774.2,1.451388889,0.939133987,NA
NA,LOC102656006,XM_006561775.2,1.521428571,0.912857143,NA
GB42862,LOC409015,XM_006561776.2,0.571002979,1.347567031,0.39029047
GB42862,LOC409015,XM_006561778.2,0.61323239,1.386438446,0.39029047
GB42621,LOC726750,XM_006561783.2,0.949471234,1.344233468,0.00392103
GB42621,LOC726750,XM_006561784.2,0.888651397,1.35482918,0.00421187
GB42621,LOC726750,XM_006561785.2,1.023607648,1.328345802,0.00392103
NA,LOC102656497,XM_006561789.2,1.701762756,0.775060265,NA
NA,LOC102656497,XM_006561790.2,1.658294321,0.760051564,NA
GB42865,LOC100577409,XM_006561792.2,1.321320744,1.008376357,0.00395322
GB42619,LOC726796,XM_006561793.2,1.403690244,0.779549403,0.00258436
NA,LOC102656809,XM_006561797.2,1.36457861,0.818747166,NA
GB42620,LOC100578512,XM_006561798.2,1.413269259,0.741530167,0.00292898
GB42616,LOC726818,XM_006561800.2,1.285945506,0.864817153,0.0040128
GB42614,LOC551265,XM_006561807.2,0.660314865,1.616632944,0.39471898
GB42871,LOC409011,XM_006561808.2,0.513585917,1.760866,0.42954764
GB42871,LOC409011,XM_006561809.2,0.510248863,1.712978325,0.42954764
GB42613,LOC409010,XM_006561813.2,0.678938356,1.222089041,0.20678002
GB42874,LOC411326,XM_006561815.2,1.24411141,1.064780036,0.00462605
GB42874,LOC411326,XM_006561816.2,1.31192628,1.007371965,0.00252054
GB42875,LOC726941,XM_006561817.2,0.568648436,1.147635935,0.27843572
GB42612,LOC726950,XM_006561818.2,0.998076491,0.878903179,0.00291694
GB42607,LOC726850,XM_006561819.2,1.44057377,0.895491803,0.00399452
NA,LOC409007,XM_006561820.2,1.310270065,1.162717129,NA
NA,LOC409007,XM_006561821.2,1.297994838,1.135745483,NA
NA,LOC409007,XM_006561822.2,1.328981404,1.12992692,NA
NA,LOC409007,XM_006561823.2,1.347184012,1.149068716,NA
NA,LOC409007,XM_006561824.2,1.311355348,1.148939777,NA
NA,LOC409007,XM_006561825.2,1.321390558,1.17123254,NA
NA,LOC409007,XM_006561826.2,1.342895906,1.140867318,NA
