ID	RNAacc	CDSlen_ucsc	IntronLen_ucsc	UTRlen_ucsc	TotalLen_ucsc	CDSlen_GB	Q_bagel	SW_bagel	RW_bagel	Q/SW	log2Q/SW	P(Q>N)	P(Q>O)	P(N>Q)	P(N>O)	P(O>Q)	P(O>N)	Sig	FlyID	OGID	NoSpecies	AmelBranch	NvitBranch	ID2	CAI	ID3	Nc	ID4	Len_aa	Len_sym	GC	GC3s	GCn3s	GC1	GC2	GC3	T1	T2	T3	C1	C2	C3	A1	A2	A3	G1	G2	G3	RNAacc2	IntronGC	chromosome	start	end	RNAacc3	length	validLength	nrLength	gcContent	cpgContent	cpgOE	gpcContent	gpcOE	nrGCcontent	nrCpGcontent	nrCpGOE	nrGpCContent	nrGpCOE	abs_log2Q/SW 
GB11652						1164																		GB11652-RA	0.853	GB11652-RA	36.79	GB11652-RA	387	374	0.25	0.102	0.32	0.364	0.253	0.132	0.251	0.302	0.382	0.165	0.152	0.047	0.385	0.444	0.486	0.199	0.101	0.085																				
GB11653						4830																		GB11653-RA	0.811	GB11653-RA	41.42	GB11653-RA	1609	1582	0.349	0.189	0.427	0.445	0.4	0.203	0.178	0.265	0.48	0.11	0.236	0.145	0.377	0.336	0.318	0.335	0.164	0.058																				
GB11654	XM_001121886					1011																		GB11654-RA	0.535	GB11654-RA	47.04	GB11654-RA	336	326	0.603	0.733	0.541	0.53	0.539	0.741	0.179	0.235	0.107	0.247	0.357	0.369	0.292	0.226	0.152	0.283	0.182	0.372																				
GB11655	XM_623797	1002	1272	110	2384	1002																		GB11655-RA	0.863	GB11655-RA	37.44	GB11655-RA	333	324	0.361	0.114	0.48	0.514	0.432	0.138	0.135	0.282	0.438	0.159	0.231	0.054	0.351	0.285	0.423	0.354	0.201	0.084	XM_623797	0.15	chrUn	86604261	86606645	XM_623797	2385	2385	1584	0.244863732	0.005033557	0.33694622	0.015520134	1.038917511	0.327020202	0.007619048	0.287243316	0.022857143	0.861729947	
GB11656						1266																		GB11656-RA	0.661	GB11656-RA	49.91	GB11656-RA	421	407	0.399	0.479	0.361	0.394	0.306	0.496	0.162	0.214	0.223	0.107	0.147	0.147	0.444	0.48	0.28	0.287	0.159	0.349																				
GB11657						1407	0.933811445	1.008189526	1.057999029	0.926226092	-0.110563696	0.0866	0.0169	0.9134	0.1741	0.9831	0.8259	NS						GB11657-RA	0.478	GB11657-RA	37.48	GB11657-RA	468	455	0.618	0.886	0.49	0.521	0.444	0.889	0.177	0.276	0.062	0.192	0.259	0.472	0.301	0.28	0.049	0.329	0.186	0.417																				0.110563696
GB11658	XM_397512	546	469	0	1015	546																		GB11658-RA	0.637	GB11658-RA	60.56	GB11658-RA	181	179	0.453	0.52	0.42	0.492	0.343	0.525	0.193	0.359	0.199	0.11	0.243	0.309	0.315	0.298	0.276	0.381	0.099	0.215	XM_397512	0.26	chr1	7386301	7387316	XM_397512	1016	1016	992	0.36023622	0.050246305	1.550445408	0.039408867	1.216035614	0.367943548	0.051515152	1.523996094	0.04040404	1.195291054	
GB11659	XM_624809	2840	2986	0	5826	4155													FBgn0032480	904	4	0.067763	0.10581	GB11659-RA	0.863	GB11659-RA	36.23	GB11659-RA	1384	1326	0.298	0.119	0.382	0.431	0.307	0.156	0.217	0.309	0.399	0.138	0.186	0.054	0.353	0.384	0.445	0.293	0.121	0.102	XM_624809	0.12	chrUn	92496623	92502449	XM_624809	5827	5827	3778	0.224815514	0.009097151	0.743696692	0.018365946	1.501425396	0.312334569	0.013574661	0.579799227	0.027681661	1.182335678	
GB11660	XM_395331	6609	6099	81	12789	6609	1.109227825	0.951043256	0.93972892	1.166327418	0.221972847	0.9214	0.9314	0.0786	0.5158	0.0686	0.4842	NS	FBgn0000313	378	4	0.19009	0.087047	GB11660-RA	0.66	GB11660-RA	53.94	GB11660-RA	2202	2114	0.406	0.447	0.387	0.428	0.322	0.469	0.242	0.34	0.277	0.199	0.195	0.223	0.33	0.338	0.254	0.229	0.127	0.246	XM_395331	0.24	chrUn	73317243	73330032	XM_395331	12790	12290	11043	0.317819365	0.034667969	1.3728735	0.024739583	0.979703155	0.34764104	0.038496459	1.274217247	0.027601235	0.913589724	0.221972847
GB11661	XM_393705	2604	84640	0	87244	2673	0.985726678	0.998767842	1.015505481	0.986942747	-0.018961699	0.3792	0.2657	0.6208	0.3581	0.7343	0.6419	NS		1289	4	0.005266	0	GB11661-RA	0.529	GB11661-RA	49.78	GB11661-RA	890	870	0.576	0.709	0.512	0.596	0.417	0.716	0.174	0.188	0.142	0.353	0.235	0.312	0.23	0.396	0.143	0.243	0.182	0.403	XM_393705	0.47	chr10	4947289	5034533	XM_393705	87245	85308	76068	0.474058705	0.082577196	1.4697938	0.051651778	0.919351431	0.482252721	0.088954185	1.530273442	0.055117073	0.94817565	0.018961699
GB11662	XM_623170	690	760	252	1702	690	1.024983159	0.989228621	0.98578822	1.036143857	0.051224319	0.7143	0.7492	0.2857	0.5533	0.2508	0.4467	NS	FBgn0033457	6853	4	0.31509	0.35315	GB11662-RA	0.877	GB11662-RA	37.6	GB11662-RA	229	223	0.277	0.121	0.351	0.393	0.293	0.144	0.284	0.306	0.406	0.135	0.179	0.057	0.323	0.402	0.45	0.258	0.114	0.087	XM_623170	0.14	chrUn	312785476	312787178	XM_623170	1703	1703	1216	0.223135643	0.009988249	0.80299404	0.013513514	1.086403701	0.286184211	0.013234078	0.646427341	0.019023987	0.929239303	0.051224319
GB11663	XM_624858	1416	1070	0	2486	1509	0.910423438	1.00475241	1.084824152	0.906117198	-0.142230434	0.116	0.0215	0.884	0.1795	0.9785	0.8205	NS	FBgn0020392	2401	4	0.10458	0.073094	GB11663-RA	0.772	GB11663-RA	48.61	GB11663-RA	502	477	0.358	0.26	0.403	0.446	0.331	0.297	0.229	0.303	0.357	0.187	0.197	0.114	0.325	0.367	0.347	0.259	0.133	0.183	XM_624858	0.23	chr14	2272203	2274689	XM_624858	2487	2487	2282	0.306795336	0.026950925	1.154788482	0.028559936	1.223731078	0.329973707	0.02943761	1.089066921	0.031195079	1.154085841	0.142230434
GB11664	XM_394633	2136	39055	0	41191	2136													FBgn0051559	5976	4	0.42525	0.074225	GB11664-RA	0.535	GB11664-RA	48.3	GB11664-RA	711	702	0.569	0.712	0.498	0.53	0.46	0.716	0.163	0.208	0.155	0.184	0.233	0.367	0.307	0.332	0.129	0.346	0.226	0.349	XM_394633	0.33	chr6	8706317	8747508	XM_394633	41192	41192	38744	0.339968926	0.048991285	1.695725918	0.029351072	1.01592301	0.353370845	0.051982629	1.665494174	0.030889728	0.989689477	
GB11665	XM_396769	1317	1156	368	2841	1317	1.267474531	0.829618486	0.902906983	1.527780001	0.611436811	1	0.9996	0	0.1679	0.0004	0.8321	Q	FBgn0013763	2595	4	0.12957	0.1731	GB11665-RA	0.571	GB11665-RA	53.08	GB11665-RA	438	430	0.53	0.626	0.483	0.541	0.416	0.632	0.196	0.253	0.201	0.189	0.244	0.345	0.263	0.331	0.167	0.352	0.171	0.288	XM_396769	0.25	chr8	6912400	6915241	XM_396769	2842	2842	2553	0.382477129	0.063709961	1.743840995	0.034846885	0.953813583	0.419506463	0.070699136	1.607951288	0.038884525	0.884373208	0.611436811
GB11666	XM_623927	780	526	5	1311	984													FBgn0032050	6228	5	0.40264	0.40062	GB11666-RA	0.883	GB11666-RA	33.89	GB11666-RA	327	316	0.273	0.085	0.362	0.391	0.312	0.116	0.205	0.309	0.425	0.147	0.159	0.037	0.404	0.379	0.459	0.245	0.153	0.08	XM_623927	0.15	chr11	11576974	11578285	XM_623927	1312	1312	989	0.226371951	0.003813883	0.304076138	0.014492754	1.155489323	0.278058645	0.004060914	0.217575864	0.018274112	0.979091388	
GB11667	XM_623090	1032	735	176	1943	1095	0.910387522	1.064807453	1.024805025	0.85497854	-0.226039885	0.0159	0.0622	0.9841	0.773	0.9378	0.227	W	FBgn0026777	5739	5	0.065582	0.10166	GB11667-RA	0.841	GB11667-RA	39.6	GB11667-RA	364	356	0.363	0.129	0.476	0.563	0.376	0.148	0.137	0.264	0.409	0.22	0.242	0.038	0.299	0.36	0.442	0.343	0.135	0.11	XM_623090	0.16	chrUn	187004034	187005977	XM_623090	1944	1944	1537	0.280864198	0.006690685	0.341481622	0.02882141	1.470997756	0.34027326	0.00848564	0.294182914	0.035900783	1.244620022	0.226039885
GB11668						312																		GB11668-RA	0.581	GB11668-RA	53.04	GB11668-RA	103	102	0.54	0.647	0.488	0.524	0.447	0.65	0.214	0.311	0.184	0.175	0.214	0.32	0.262	0.243	0.165	0.35	0.233	0.33																				
GB11669						243																		GB11669-RA	0.882	GB11669-RA	26.98	GB11669-RA	80	72	0.246	0.125	0.298	0.35	0.175	0.212	0.212	0.312	0.338	0.113	0.087	0.025	0.438	0.512	0.45	0.237	0.087	0.188																				
GB11670	XM_394268	1506	33760	62	35328	1641														1848	4	0.010667	0.030138	GB11670-RA	0.8	GB11670-RA	46.6	GB11670-RA	546	525	0.371	0.206	0.448	0.496	0.379	0.236	0.238	0.277	0.37	0.236	0.216	0.095	0.266	0.344	0.394	0.26	0.163	0.141	XM_394268	0.37	chr2	145752	181080	XM_394268	35329	35028	29038	0.370874729	0.055790315	1.622797028	0.036432161	1.059718018	0.409291274	0.065188102	1.556600487	0.041800532	0.998138097	
GB11671	XM_394965	2853	1415	230	4498	2895													FBgn0032883	941	5	0.22007	0.26698	GB11671-RA	0.861	GB11671-RA	35.51	GB11671-RA	964	928	0.31	0.112	0.403	0.442	0.342	0.145	0.215	0.298	0.422	0.167	0.198	0.044	0.343	0.36	0.433	0.275	0.144	0.102	XM_394965	0.14	chr3	10089190	10093688	XM_394965	4499	4499	3712	0.24761058	0.006891952	0.45644174	0.022899066	1.516564492	0.2890625	0.008112493	0.395785115	0.027582477	1.345669391	
GB11672	XM_394595	2043	1204	373	3620	2043	1.044149631	1.025078107	0.930772262	1.018604947	0.026594629	0.5805	0.9277	0.4195	0.9025	0.0723	0.0975	NS	FBgn0033607	1403	5	0.075789	0.060568	GB11672-RA	0.856	GB11672-RA	36.99	GB11672-RA	680	648	0.343	0.12	0.447	0.472	0.396	0.162	0.194	0.272	0.406	0.138	0.206	0.062	0.334	0.332	0.432	0.334	0.19	0.1	XM_394595	0.14	chr5	11677322	11680942	XM_394595	3621	3621	2916	0.277547639	0.01519337	0.818494142	0.024033149	1.294708915	0.333333333	0.018601447	0.695105379	0.029968998	1.119891999	0.026594629
GB11673	XM_392825	1569	3202	278	5049	1569	0.938955381	1.045357805	1.015686815	0.89821435	-0.154868324	0.0195	0.0646	0.9805	0.752	0.9354	0.248	NS		5747	3	0.085663	0.22407	GB11673-RA	0.708	GB11673-RA	54.44	GB11673-RA	522	506	0.436	0.336	0.484	0.527	0.425	0.356	0.211	0.257	0.351	0.238	0.22	0.182	0.262	0.318	0.293	0.289	0.205	0.174	XM_392825	0.23	chr11	1179216	1184265	XM_392825	5050	5050	4380	0.293663366	0.032085561	1.4905894	0.026737968	1.242157833	0.330593607	0.036646816	1.343251679	0.030920751	1.133368604	0.154868324
GB11674	XM_393076	1299	654	129	2082	1299	1.085111075	0.918861469	0.996027456	1.18093	0.239923452							NS		4803	4	0.096166	0.094031	GB11674-RA	0.865	GB11674-RA	38.41	GB11674-RA	432	423	0.339	0.121	0.444	0.433	0.444	0.139	0.213	0.264	0.47	0.171	0.296	0.062	0.354	0.292	0.391	0.262	0.148	0.076	XM_393076	0.15	chrUn	101415859	101417941	XM_393076	2083	2083	1749	0.273163706	0.010086455	0.541298826	0.014409222	0.773284037	0.315037164	0.012048193	0.485847686	0.017211704	0.694068122	0.239923452
GB11675	XM_394202	3585	9001	43	12629	3696	1.04250799	0.918363599	1.039128412	1.13518	0.182921076	0.9979	0.5432	0.0021	0.0017	0.4568	0.9983	Q		930	4	0.19231	0.15615	GB11675-RA	0.765	GB11675-RA	50.08	GB11675-RA	1231	1195	0.415	0.264	0.487	0.504	0.455	0.286	0.19	0.212	0.37	0.191	0.27	0.13	0.306	0.333	0.344	0.313	0.185	0.156	XM_394202	0.23	chr1	10480832	10493461	XM_394202	12630	12630	10176	0.28432304	0.02264629	1.12127447	0.023834033	1.180082571	0.318789308	0.026723203	1.054853777	0.028005128	1.105455619	0.182921076
GB11676						258																		GB11676-RA	0.642	GB11676-RA	54.95	GB11676-RA	85	81	0.459	0.543	0.42	0.424	0.388	0.565	0.271	0.235	0.235	0.153	0.188	0.306	0.306	0.376	0.2	0.271	0.2	0.259																				
GB11677	XM_623938	1443	979	79	2501	1443																		GB11677-RA	0.851	GB11677-RA	38.05	GB11677-RA	480	461	0.316	0.124	0.407	0.46	0.329	0.158	0.233	0.333	0.44	0.169	0.177	0.069	0.306	0.338	0.402	0.292	0.152	0.09	XM_623938	0.1	chrUn	51841170	51843671	XM_623938	2502	2502	1793	0.229816147	0.004398241	0.340190827	0.017592963	1.360763308	0.298382599	0.006165919	0.283851697	0.023542601	1.08379739	
GB11678						369																		GB11678-RA	0.814	GB11678-RA	36.62	GB11678-RA	122	118	0.314	0.186	0.375	0.385	0.344	0.213	0.213	0.279	0.434	0.115	0.213	0.098	0.402	0.377	0.352	0.27	0.131	0.115																				
GB11679						1296	1.012923591	0.990566505	0.996509904	1.02257	0.032199606	0.6582	0.6364	0.3418	0.4738	0.3636	0.5262	NS						GB11679-RA	0.543	GB11679-RA	54.35	GB11679-RA	431	428	0.567	0.652	0.525	0.592	0.455	0.654	0.144	0.262	0.195	0.253	0.306	0.346	0.265	0.283	0.151	0.339	0.148	0.309																				0.032199606
GB11680						543																		GB11680-RA	0.895	GB11680-RA	33.39	GB11680-RA	180	173	0.222	0.069	0.294	0.289	0.272	0.106	0.256	0.361	0.428	0.056	0.194	0.033	0.456	0.367	0.467	0.233	0.078	0.072																				
GB11681	XM_001121174					1077																		GB11681-RA	0.733	GB11681-RA	52.74	GB11681-RA	358	343	0.353	0.364	0.347	0.374	0.293	0.391	0.218	0.249	0.279	0.087	0.182	0.159	0.408	0.458	0.33	0.288	0.112	0.232																				
GB11682	XM_393994	4827	2745	0	7572	4827													FBgn0039222	1146	5	0.19773	0.22795	GB11682-RA	0.591	GB11682-RA	55.04	GB11682-RA	1608	1572	0.531	0.602	0.497	0.517	0.466	0.611	0.2	0.221	0.22	0.234	0.278	0.323	0.283	0.313	0.17	0.284	0.188	0.287	XM_393994	0.34	chr14	2761740	2769312	XM_393994	7573	7573	7573	0.460715701	0.074088748	1.397024625	0.045298468	0.854152311	0.460715701	0.074088748	1.397024625	0.045298468	0.854152311	
GB11683	XM_624183	459	1358	195	2012	459																		GB11683-RA	0.854	GB11683-RA	36.53	GB11683-RA	152	145	0.325	0.103	0.428	0.454	0.375	0.145	0.257	0.303	0.428	0.197	0.237	0.033	0.289	0.322	0.428	0.257	0.138	0.112	XM_624183	0.11	chr14	7719349	7721361	XM_624183	2013	2013	799	0.164431197	0.00695825	1.03852696	0.008946322	1.335248948	0.287859825	0.017676768	0.858556464	0.021464646	1.042532849	
GB11684	XM_001120603					771														5432	4	0.26286	0.16477	GB11684-RA	0.886	GB11684-RA	33.5	GB11684-RA	256	245	0.283	0.069	0.382	0.398	0.34	0.109	0.242	0.301	0.441	0.156	0.195	0.031	0.359	0.359	0.449	0.242	0.145	0.078																				
GB11685	XM_393337	1494	13398	209	15101	768	0.86277803	1.092665236	1.044556733	0.789608749	-0.34079012	0.039	0.0761	0.961	0.6662	0.9239	0.3338	W						GB11685-RA	0.701	GB11685-RA	55.44	GB11685-RA	255	246	0.455	0.423	0.47	0.514	0.408	0.443	0.169	0.302	0.294	0.141	0.212	0.243	0.318	0.29	0.263	0.373	0.196	0.2	XM_393337	0.26	chr10	8498615	8513716	XM_393337	15102	15102	12569	0.277115614	0.030858884	1.609529946	0.020197338	1.053447711	0.317765932	0.036401373	1.443716337	0.024028099	0.952979424	0.34079012
GB11686						540																		GB11686-RA	0.974	GB11686-RA	29.59	GB11686-RA	77	72	0.29	0.069	0.39	0.455	0.286	0.13	0.208	0.234	0.338	0.091	0.182	0.013	0.338	0.481	0.532	0.364	0.104	0.117																				
GB11687	XM_001121579					2379													FBgn0015277	858	4	0.049661	0.052194	GB11687-RA	0.877	GB11687-RA	35.1	GB11687-RA	792	757	0.324	0.085	0.437	0.489	0.36	0.125	0.227	0.308	0.418	0.183	0.201	0.033	0.284	0.332	0.457	0.306	0.159	0.092																				
GB11688						204																		GB11688-RA	0.822	GB11688-RA	34.28	GB11688-RA	67	64	0.284	0.141	0.35	0.433	0.239	0.179	0.119	0.209	0.149	0.179	0.119	0	0.448	0.552	0.672	0.254	0.119	0.179																				
GB11689	XR_014995					1074	1.042034126	0.942539642	1.015426232	1.105559999	0.144777323	0.9763	0.7034	0.0237	0.0563	0.2966	0.9437	Q	FBgn0011300	2760	5	0.082918	0.073805	GB11689-RA	0.589	GB11689-RA	57.19	GB11689-RA	357	341	0.514	0.592	0.477	0.504	0.426	0.611	0.182	0.258	0.213	0.182	0.252	0.277	0.314	0.317	0.176	0.322	0.174	0.333																				0.144777323
GB11690	XM_624757	741	273	0	1014	678																		GB11690-RA	0.896	GB11690-RA	32.95	GB11690-RA	225	212	0.262	0.047	0.361	0.373	0.311	0.102	0.262	0.453	0.458	0.142	0.16	0.022	0.364	0.236	0.44	0.231	0.151	0.08	XM_624757	0.1	chr5	10897578	10898592	XM_624757	1015	1015	815	0.222660099	0.004930966	0.416632898	0.018737673	1.583205014	0.267484663	0.006165228	0.362237828	0.023427867	1.376503746	
GB11691	XM_397095	1479	657	0	2136	1542														4433	4	0.098103	0.053725	GB11691-RA	0.867	GB11691-RA	36.06	GB11691-RA	513	499	0.349	0.1	0.468	0.495	0.427	0.125	0.175	0.214	0.458	0.197	0.226	0.057	0.329	0.359	0.417	0.298	0.201	0.068	XM_397095	0.12	chrUn	248274312	248276448	XM_397095	2137	2137	1572	0.282171268	0.01170412	0.591902856	0.020131086	1.018072912	0.34605598	0.01531589	0.513581422	0.026164646	0.877368263	
GB11692	XM_624276	1338	2201	151	3690	1359	1.072657076	1.008098543	0.919244381	1.064039903	0.089552255	0.8417	0.9797	0.1583	0.8878	0.0203	0.1122	NS	FBgn0028399	3013	4	0.11679	0.12026	GB11692-RA	0.851	GB11692-RA	39.79	GB11692-RA	452	426	0.322	0.131	0.41	0.376	0.409	0.181	0.299	0.354	0.493	0.117	0.226	0.082	0.325	0.237	0.325	0.259	0.184	0.1	XM_624276	0.15	chrUn	22685515	22689205	XM_624276	3691	3691	2424	0.214846925	0.006504065	0.57254369	0.017886179	1.574495147	0.290429043	0.009559435	0.460859519	0.027015794	1.302429074	0.089552255
GB11693	XM_001120689					1218														5131	4	0.18903	0.37089	GB11693-RA	0.836	GB11693-RA	37.67	GB11693-RA	405	391	0.319	0.133	0.407	0.457	0.336	0.163	0.193	0.274	0.378	0.178	0.24	0.052	0.351	0.39	0.459	0.279	0.096	0.111																				
GB11694						1704																		GB11694-RA	0.526	GB11694-RA	44.36	GB11694-RA	567	559	0.61	0.742	0.546	0.552	0.533	0.746	0.157	0.171	0.148	0.261	0.328	0.356	0.291	0.296	0.106	0.291	0.205	0.39																				
GB11695	XM_001120679					1029																		GB11695-RA	0.711	GB11695-RA	51.42	GB11695-RA	342	318	0.383	0.365	0.391	0.377	0.363	0.409	0.289	0.404	0.295	0.161	0.164	0.222	0.333	0.234	0.295	0.216	0.199	0.187																				
GB11696	XM_001121048					177																		GB11696-RA	0.882	GB11696-RA	43.35	GB11696-RA	58	56	0.339	0.089	0.458	0.431	0.466	0.121	0.259	0.241	0.431	0.19	0.172	0.052	0.31	0.293	0.448	0.241	0.293	0.069																				
GB11697	XM_623585	945	1890	286	3121	945	0.966578923	1.038637381	0.994783696	0.930622122	-0.103732614	0.137	0.3317	0.863	0.7621	0.6683	0.2379	NS		3629	4	0.070751	0.051702	GB11697-RA	0.82	GB11697-RA	41.61	GB11697-RA	314	305	0.359	0.167	0.451	0.506	0.379	0.191	0.188	0.261	0.376	0.172	0.217	0.054	0.306	0.36	0.433	0.334	0.162	0.137	XM_623585	0.16	chrUn	10028304	10031425	XM_623585	3122	3122	2171	0.226777707	0.008330663	0.65362609	0.020185838	1.583786296	0.295255643	0.011563367	0.535751579	0.028214616	1.307233853	0.103732614
GB11698	XM_623066	1062	3126	293	4481	1062						1	0.9999	0	0.0788	0.0001	0.9212		FBgn0035501	5310	5	0.35495	0.38767	GB11698-RA	0.765	GB11698-RA	49.46	GB11698-RA	353	346	0.398	0.275	0.457	0.504	0.399	0.289	0.241	0.286	0.36	0.195	0.198	0.173	0.255	0.314	0.351	0.309	0.201	0.116	XM_623066	0.21	chr4	8272612	8277093	XM_623066	4482	4303	3438	0.243783407	0.019762846	1.330181971	0.017902813	1.204988373	0.283304247	0.024233577	1.20781561	0.021021898	1.047743662	
GB11699	XM_623651	909	291	131	1331	909													FBgn0029783	6167	5	0.47248	0.32181	GB11699-RA	0.9	GB11699-RA	32.57	GB11699-RA	302	295	0.269	0.078	0.362	0.361	0.348	0.099	0.212	0.301	0.47	0.113	0.172	0.04	0.427	0.351	0.43	0.248	0.175	0.06	XM_623651	0.09	chr7	8921557	8922888	XM_623651	1332	1332	954	0.216216216	0.003756574	0.338119103	0.015777611	1.420100232	0.270440252	0.004210526	0.242535909	0.021052632	1.212679547	
GB11700	XM_396674	1383	895	109	2387	1383													FBgn0033562	4921	4	0.22008	0.35558	GB11700-RA	0.908	GB11700-RA	34.13	GB11700-RA	460	443	0.276	0.068	0.375	0.426	0.3	0.102	0.228	0.287	0.446	0.113	0.178	0.03	0.346	0.413	0.452	0.313	0.122	0.072	XM_396674	0.11	chrUn	5104476	5106863	XM_396674	2388	2388	1538	0.206867672	0.003351487	0.33222089	0.010892333	1.079717892	0.282184655	0.005242464	0.281425992	0.017038008	0.914634474	
GB11701	XM_391965	1329	1129	246	2704	1329	1.05830822	0.966915379	0.974776401	1.094519999	0.130298316	0.992	0.9826	0.008	0.3581	0.0174	0.6419	Q	FBgn0024832	1754	5	0.004691	0.0047	GB11701-RA	0.819	GB11701-RA	40.94	GB11701-RA	442	424	0.346	0.172	0.428	0.475	0.357	0.206	0.206	0.321	0.407	0.147	0.183	0.075	0.319	0.321	0.387	0.328	0.174	0.131	XM_391965	0.14	chr13	2269018	2271722	XM_391965	2705	2705	2034	0.256561922	0.012204142	0.759336838	0.018860947	1.173520569	0.316617502	0.016296296	0.666979809	0.024197531	0.990363958	0.130298316
GB11702	XM_623987	1482	1243	201	2926	1845													FBgn0033177	5282	5	0.19005	0.22212	GB11702-RA	0.884	GB11702-RA	34.2	GB11702-RA	614	600	0.292	0.085	0.392	0.428	0.342	0.106	0.195	0.29	0.453	0.134	0.217	0.041	0.376	0.368	0.441	0.295	0.125	0.065	XM_623987	0.19	chr2	2828684	2831610	XM_623987	2927	2877	2386	0.249913104	0.006608696	0.431096924	0.015652174	1.021019029	0.28541492	0.007986549	0.399614964	0.018495166	0.925424126	
GB11703	XM_396507	903	932	364	2199	903																		GB11703-RA	0.82	GB11703-RA	43.73	GB11703-RA	300	283	0.311	0.191	0.366	0.413	0.283	0.237	0.217	0.33	0.343	0.15	0.183	0.093	0.37	0.387	0.42	0.263	0.1	0.143	XM_396507	0.11	chr1	6686865	6689064	XM_396507	2200	2200	1200	0.205454545	0.013642565	1.292804966	0.010004548	0.948056975	0.300833333	0.020955574	0.928264637	0.017602682	0.779742295	
GB11704	XM_393573	606	1109	869	2584	606	1.090188936	0.978940607	0.930870457	1.113641551	0.155284946	0.871	0.9521	0.129	0.7192	0.0479	0.2808	NS		6791	4	0.036846	0.028643	GB11704-RA	0.722	GB11704-RA	55.64	GB11704-RA	201	198	0.448	0.298	0.521	0.552	0.483	0.308	0.164	0.179	0.378	0.189	0.239	0.164	0.284	0.338	0.313	0.363	0.244	0.144	XM_393573	0.24	chr8	1669164	1671748	XM_393573	2585	2585	2086	0.323017408	0.030959752	1.212334488	0.032120743	1.257797031	0.375838926	0.037999038	1.096856091	0.038961039	1.124624599	0.155284946
GB11705	XM_392411	6456	64587	0	71043	6816	0.859601317	1.069206502	1.071192181	0.803961924	-0.314800918	0.0018	0.0026	0.9982	0.4905	0.9974	0.5095	W	FBgn0003244	64	5	0.007625	0.014397	GB11705-RA	0.619	GB11705-RA	57.47	GB11705-RA	2271	2192	0.49	0.538	0.468	0.534	0.384	0.554	0.18	0.271	0.236	0.232	0.228	0.258	0.286	0.345	0.21	0.302	0.155	0.296	XM_392411	0.33	chr6	8485682	8556725	XM_392411	71044	69597	65267	0.339583603	0.046385308	1.608972133	0.028351367	0.983426895	0.355340371	0.049194415	1.55842798	0.030197944	0.956639509	0.314800918
GB11706	XM_623958	4503	2795	0	7298	9513	0.743032215	1.21041434	1.046553445	0.613866005	-0.704004318							W						GB11706-RA	0.882	GB11706-RA	35.55	GB11706-RA	3170	3115	0.296	0.097	0.393	0.418	0.358	0.113	0.175	0.231	0.398	0.156	0.267	0.044	0.407	0.412	0.49	0.262	0.091	0.069	XM_623958	0.22	chr6	4237973	4245271	XM_623958	7299	7299	6885	0.269899986	0.009043574	0.4965879	0.017676076	0.970603623	0.279302832	0.009593023	0.491908874	0.018604651	0.95400509	0.704004318
GB11707	XM_395565	3075	51105	334	54514	1800	0.993660446	1.005544625	1.000794928	0.988181351	-0.017152265	0.4825	0.497	0.5175	0.5083	0.503	0.4917	NS						GB11707-RA	0.694	GB11707-RA	55.86	GB11707-RA	599	586	0.459	0.382	0.496	0.503	0.479	0.396	0.195	0.25	0.321	0.237	0.317	0.174	0.302	0.27	0.284	0.265	0.162	0.222	XM_395565	0.25	chr6	2912030	2966544	XM_395565	54515	54515	44299	0.259102999	0.024929376	1.486081266	0.01946289	1.160215028	0.299600442	0.030274211	1.349575422	0.023639698	1.053819552	0.017152265
GB11708	XM_392325	2202	927	302	3431	2223	1.006352297	0.976775534	1.016872169	1.03028	0.043036473	0.7242	0.4506	0.2758	0.2196	0.5494	0.7804	NS		956	4	0.10571	0.16898	GB11708-RA	0.851	GB11708-RA	38.84	GB11708-RA	740	711	0.348	0.145	0.444	0.481	0.385	0.178	0.222	0.272	0.401	0.151	0.199	0.072	0.297	0.343	0.42	0.33	0.186	0.107	XM_392325	0.14	chr4	2245311	2248742	XM_392325	3432	3432	2817	0.282051282	0.01369863	0.711778857	0.024774118	1.287259635	0.330493433	0.016743855	0.633568289	0.030281439	1.14581499	0.043036473
GB11709						483																		GB11709-RA	0.829	GB11709-RA	39.14	GB11709-RA	160	152	0.362	0.217	0.43	0.438	0.394	0.256	0.2	0.325	0.35	0.1	0.219	0.113	0.362	0.281	0.394	0.338	0.175	0.144																				
GB11710	XM_392227	342	588	389	1319	342	1.093733382	0.922149099	0.984117519	1.18607	0.246189158	0.999	0.9757	0.001	0.0803	0.0243	0.9197	Q						GB11710-RA	0.806	GB11710-RA	38.42	GB11710-RA	113	104	0.398	0.212	0.481	0.496	0.425	0.274	0.23	0.221	0.381	0.159	0.186	0.115	0.274	0.354	0.345	0.336	0.239	0.159	XM_392227	0.2	chr2	5154989	5156308	XM_392227	1320	1320	1081	0.281818182	0.018953753	0.978374136	0.027293404	1.408858756	0.325624422	0.022304833	0.863293509	0.033457249	1.294940263	0.246189158
