target_id	length	eff_length	est_counts	tpm
XM_006557808.2	670	501.338	1464.85	181.065
XM_006557809.2	879	710.285	503.641	43.9401
XM_006557810.2	884	715.285	395.103	34.2298
XM_006557811.2	722	553.285	55.2246	6.18525
XM_006557812.2	2760	2591.21	26.0758	0.623603
XM_006557813.2	1850	1681.21	7.31261	0.26954
XM_006557814.2	1497	1328.21	166.908	7.78723
XM_006557815.2	2560	2391.21	0	0
XM_006557816.2	1899	1730.21	5286	189.322
XM_006557817.2	617	448.476	33	4.55982
XM_006557819.2	2490	2321.21	0	0
XM_006557821.2	2226	2057.21	69.5793	2.09592
XM_006557822.2	1251	1082.21	1.59079	0.0910905
XM_006557823.2	949	780.211	0	0
XM_006557824.2	1739	1570.21	166.848	6.5847
XM_006557825.2	1990	1821.21	403.281	13.7221
XM_006557827.2	1632	1463.21	59.7417	2.53013
XM_006557829.2	863	694.285	88.0101	7.85539
XM_006557830.2	3895	3726.21	2236.83	37.1997
XM_006557831.2	3874	3705.21	96.1568	1.6082
XM_006557833.2	1447	1278.21	5.9085	0.286449
XM_006557834.2	4993	4824.21	231.165	2.9694
XM_006557835.2	1153	984.211	1493.57	94.0397
XM_006557837.2	5059	4890.21	606	7.67924
XM_006557838.2	2512	2343.21	627.716	16.6007
XM_006557840.2	1512	1343.21	0.000194587	8.97724e-06
XM_006557841.2	1500	1331.21	8.99981	0.418947
XM_006557843.2	3593	3424.21	0	0
XM_006557845.2	3567	3398.21	5.00653	0.0912977
XM_006557846.2	2579	2410.21	1370.23	35.2299
XM_006557847.2	5276	5107.21	36.831	0.446892
XM_006557849.2	5100	4931.21	0.000550843	6.92225e-06
XM_006557851.2	5139	4970.21	96.0201	1.19718
XM_006557853.2	4693	4524.21	52.7547	0.72259
XM_006557854.2	4502	4333.21	1409.04	20.1505
XM_006557859.2	1055	886.211	1.45737	0.101907
XM_006557863.2	2079	1910.21	3227.25	104.694
XM_006557865.2	1504	1335.21	1.37052	0.0636076
XM_006557867.2	3506	3337.21	1441.68	26.7706
XM_006557868.2	4745	4576.21	5.45895e-06	7.39225e-08
XM_006557870.2	1974	1805.21	3	0.102983
XM_006557872.2	2777	2608.21	9296	220.865
XM_006557876.1	594	425.476	0	0
XM_006557877.2	3810	3641.21	1032	17.5633
XM_006557878.2	2961	2792.21	17.3772	0.385661
XM_006557880.2	1053	884.211	1	0.0700837
XM_006557883.2	848	679.285	2	0.182453
XM_006557884.2	5395	5226.21	478.031	5.66816
XM_006557885.2	5375	5206.21	911.889	10.8541
XM_006557886.2	2078	1909.21	772	25.0574
XM_006557889.2	1248	1079.21	0	0
XM_006557892.2	1736	1567.21	9	0.355867
XM_006557896.2	6063	5894.21	4418	46.4487
XM_006557901.2	3232	3063.21	1008.32	20.3983
XM_006557903.2	6793	6624.21	1040.11	9.73015
XM_006557904.2	5594	5425.21	852.374	9.73614
XM_006557909.2	499	330.967	4.76319	0.891838
XM_006557914.2	498	329.967	0	0
XM_006557916.2	2282	2113.21	0	0
XM_006557917.2	1507	1338.21	1.51774	0.0702822
XM_006557918.2	4172	4003.21	2363.55	36.5873
XM_006557919.2	1084	915.211	3.03709	0.205641
XM_006557920.2	859	690.285	1.82729	0.164041
XM_006557921.2	629	460.385	31.1356	4.19092
XM_006557924.2	1809	1640.21	4	0.151124
XM_006557925.2	4392	4223.21	394.674	5.79121
XM_006557926.2	4140	3971.21	287.914	4.49275
XM_006557927.2	3970	3801.21	1095.33	17.8566
XM_006557928.2	4297	4128.21	18.0941	0.271611
XM_006557929.2	3627	3458.21	73.9879	1.32581
XM_006557931.2	660	491.338	55.1848	6.96005
XM_006557936.2	2168	1999.21	64.3097	1.99338
XM_006557937.2	1213	1044.21	152.7	9.06197
XM_006557941.2	8456	8287.21	31.4102	0.234874
XM_006557965.2	2023	1854.21	0	0
XM_006557966.2	1824	1655.21	0	0
XM_006557967.2	2015	1846.21	0	0
XM_006557968.2	2002	1833.21	6.89177	0.232965
XM_006557969.2	3999	3830.21	2874.97	46.514
XM_006557973.2	5776	5607.21	488.226	5.39569
XM_006557974.2	5002	4833.21	3400.64	43.6012
XM_006557975.2	5861	5692.21	937.903	10.2106
XM_006557978.2	4513	4344.21	20.0888	0.286561
XM_006557979.2	4262	4093.21	0	0
XM_006557980.2	3486	3317.21	1104	20.6238
XM_006557988.2	8764	8595.21	0	0
XM_006557989.2	8758	8589.21	763.63	5.50938
XM_006557994.2	772	603.285	66.4142	6.822
XM_006557995.2	2164	1995.21	0	0
XM_006557996.2	2187	2018.21	45	1.38172
XM_006557997.2	2262	2093.21	0	0
XM_006558004.2	735	566.285	129	14.1165
XM_006558009.2	997	828.211	0	0
XM_006558014.2	3053	2884.21	153	3.28729
XM_006558015.2	1098	929.211	0	0
XM_006558016.1	1088	919.211	170.802	11.5146
XM_006558017.2	944	775.211	21.5153	1.71989
XM_006558020.2	977	808.211	0	0
XM_006558021.2	962	793.211	0	0
XM_006558022.2	1308	1139.21	3.35982	0.182761
XM_006558024.2	4438	4269.21	88.0885	1.27863
XM_006558033.2	849	680.285	228	20.7691
XM_006558038.2	1359	1190.21	423.184	22.0332
XM_006558039.2	2469	2300.21	2597.04	69.9654
XM_006558040.2	2473	2304.21	218.923	5.88765
XM_006558041.2	2496	2327.21	82.839	2.20583
XM_006558042.2	5522	5353.21	233.771	2.70613
XM_006558044.2	2113	1944.21	109.204	3.48072
XM_006558045.2	4448	4279.21	164.211	2.378
XM_006558046.2	4029	3860.21	29.9569	0.480905
XM_006558047.2	3951	3782.21	42.0906	0.689624
XM_006558048.2	2715	2546.21	0	0
XM_006558049.2	2516	2347.21	8.95707	0.236476
XM_006558050.2	3361	3192.21	46.1292	0.895484
XM_006558051.2	2505	2336.21	27.5399	0.730505
XM_006558053.2	2732	2563.21	20.5813	0.497579
XM_006558054.2	2782	2613.21	14.9719	0.355039
XM_006558055.2	2726	2557.21	0	0
XM_006558056.2	2718	2549.21	0	0
XM_006558057.2	2676	2507.21	0	0
XM_006558058.2	2668	2499.21	0	0
XM_006558060.2	1570	1401.21	265.379	11.7364
XM_006558061.2	5011	4842.21	3924.62	50.2258
XM_006558063.2	3032	2863.21	184.703	3.99755
XM_006558067.2	4896	4727.21	0.000424894	5.56991e-06
XM_006558068.2	5202	5033.21	0	0
XM_006558069.2	4402	4233.21	0.203169	0.00297413
XM_006558072.2	2397	2228.21	3.90847	0.108698
XM_006558073.2	2186	2017.21	5.61744	0.172568
XM_006558074.2	2047	1878.21	4.76801	0.157314
XM_006558080.2	1374	1205.21	1487.33	76.4748
XM_006558081.2	1760	1591.21	260.849	10.1586
XM_006558088.2	5768	5599.21	2007.75	22.2206
XM_006558090.2	2341	2172.21	743.041	21.1975
XM_006558092.2	2109	1940.21	0	0
XM_006558093.2	2295	2126.21	119.75	3.49014
XM_006558095.2	3406	3237.21	969.711	18.5628
XM_006558096.2	3400	3231.21	306.289	5.87407
XM_006558097.2	4029	3860.21	148.031	2.37637
XM_006558098.2	4054	3885.21	4.9753	0.0793556
XM_006558100.1	546	377.555	182	29.872
XM_006558101.2	5144	4975.21	4937	61.4929
XM_006558102.2	1631	1462.21	2359.89	100.013
XM_006558104.2	7830	7661.21	66.4267	0.537302
XM_006558106.2	7484	7315.21	92.5813	0.784277
XM_006558107.2	7663	7494.21	3.38083e-07	2.79557e-09
XM_006558108.2	9465	9296.21	0.0233432	0.000155606
XM_006558109.2	9453	9284.21	259.446	1.73171
XM_006558110.2	9450	9281.21	113.505	0.75785
XM_006558111.2	9450	9281.21	0	0
XM_006558112.2	9447	9278.21	0	0
XM_006558113.2	6310	6141.21	0	0
XM_006558114.2	6479	6310.21	0	0
XM_006558115.2	6467	6298.21	0	0
XM_006558116.2	6379	6210.21	0	0
XM_006558119.2	1468	1299.21	6.81024	0.32483
XM_006558120.2	4152	3983.21	229.133	3.56473
XM_006558121.2	4138	3969.21	32.966	0.514677
XM_006558122.2	3812	3643.21	460.959	7.84063
XM_006558123.2	1289	1120.21	31.534	1.74442
XM_006558124.2	1376	1207.21	154.361	7.92369
XM_006558125.2	1615	1446.21	214	9.1697
XM_006558127.2	2275	2106.21	1	0.0294219
XM_006558129.2	6404	6235.21	55.9086	0.555649
XM_006558163.2	1718	1549.21	0	0
XM_006558166.2	1079	910.211	164.104	11.1725
XM_006558167.2	1051	882.211	80.5788	5.66007
XM_006558168.2	1013	844.211	23.9164	1.75557
XM_006558169.2	973	804.211	88.7004	6.83485
XM_006558170.2	1559	1390.21	169.851	7.57114
XM_006558174.2	1625	1456.21	1881.74	80.077
XM_006558176.2	1818	1649.21	97.6927	3.67079
XM_006558180.2	730	561.285	0	0
XM_006558181.2	5814	5645.21	3485	38.2557
XM_006558182.2	5008	4839.21	877.644	11.2387
XM_006558183.2	778	609.285	456	46.3786
XM_006558184.2	744	575.285	0	0
XM_006558194.2	4682	4513.21	1362.38	18.7062
XM_006558195.2	4809	4640.21	540.564	7.21909
XM_006558196.2	2123	1954.21	226.077	7.16899
XM_006558204.2	4669	4500.21	0	0
XM_006558205.2	4468	4299.21	622.031	8.96594
XM_006558208.2	4127	3958.21	99.8239	1.56282
XM_006558209.2	962	793.211	52.6743	4.11513
XM_006558210.2	507	338.766	191.326	34.9982
XM_006558211.2	1832	1663.21	78.379	2.92029
XM_006558212.2	2021	1852.21	7.62099	0.254973
XM_006558214.2	5052	4883.21	159.998	2.03041
XM_006558215.2	4249	4080.21	13.8557	0.210436
XM_006558216.2	4289	4120.21	180.248	2.71096
XM_006558217.2	4271	4102.21	785.177	11.861
XM_006558218.2	2228	2059.21	0	0
XM_006558219.2	4459	4290.21	281.377	4.06427
XM_006558220.2	2159	1990.21	118.67	3.69501
XM_006558221.2	2141	1972.21	247.728	7.78386
XM_006558222.2	602	433.476	2160	308.789
XM_006558224.2	1315	1146.21	823	44.4947
XM_006558227.2	4745	4576.21	592.884	8.02855
XM_006558228.2	4717	4548.21	545.39	7.43087
XM_006558229.2	4711	4542.21	0	0
XM_006558230.2	4684	4515.21	2877.5	39.4922
XM_006558231.2	4579	4410.21	0	0
XM_006558232.2	4552	4383.21	119.98	1.69624
XM_006558233.2	4546	4377.21	0	0
XM_006558234.2	4518	4349.21	1018.19	14.5074
XM_006558235.2	1087	918.211	33	2.22713
XM_006558236.2	529	360.629	0	0
XM_006558237.2	424	257.07	85.8944	20.7055
XM_006558239.2	1367	1198.21	8.73345	0.451675
XM_006558240.2	1255	1086.21	0	0
XM_006558241.2	4394	4225.21	230.273	3.37729
XM_006558242.2	4210	4041.21	834.019	12.789
XM_006558243.2	4292	4123.21	190.302	2.8601
XM_006558244.2	4172	4003.21	106.752	1.6525
XM_006558245.2	4323	4154.21	130.648	1.94889
XM_006558246.2	4164	3995.21	132.579	2.05641
XM_006558249.2	1962	1793.21	374	12.9245
XM_006558250.2	5055	4886.21	4107.3	52.0904
XM_006558251.2	2057	1888.21	0	0
XM_006558252.2	2055	1886.21	0	0
XM_006558257.2	1941	1772.21	41.7172	1.45872
XM_006558262.2	2089	1920.21	283.783	9.1582
XM_006558263.2	2552	2383.21	530.283	13.7885
XM_006558265.2	4251	4082.21	0	0
XM_006558266.2	4249	4080.21	291.544	4.42786
XM_006558267.2	4162	3993.21	3239.89	50.2783
XM_006558268.2	4305	4136.21	846.603	12.6838
XM_006558271.2	4969	4800.21	159.023	2.05292
XM_006558272.2	1750	1581.21	62	2.42983
XM_006558276.2	1155	986.211	40.6218	2.55248
XM_006558279.2	1860	1691.21	2.96332e-08	1.08581e-09
XM_006558280.2	1467	1298.21	166.551	7.95014
XM_006558283.2	2397	2228.21	223.336	6.21119
XM_006558284.2	2427	2258.21	22.149	0.607803
XM_006558288.2	1157	988.211	0	0
XM_006558289.2	2303	2134.21	0	0
XM_006558290.2	1129	960.211	0	0
XM_006558291.2	1016	847.211	73.4093	5.36948
XM_006558292.2	3722	3553.21	67.0961	1.17017
XM_006558293.2	3310	3141.21	773.028	15.2501
XM_006558294.2	1087	918.211	133.714	9.02417
XM_006558295.2	1129	960.211	227.945	14.7108
XM_006558297.2	615	446.476	3174.97	440.671
XM_006558301.2	4428	4259.21	2.64684	0.0385098
XM_006558306.2	2659	2490.21	25.2938	0.629434
XM_006558308.2	1590	1421.21	2	0.0872056
XM_006558313.2	454	286.638	144	31.1317
XM_006558314.2	654	485.338	0	0
XM_006558315.2	1635	1466.21	548.31	23.1741
XM_006558316.2	1567	1398.21	4.81605	0.213448
XM_006558317.2	3775	3606.21	242	4.15851
XM_006558318.2	1552	1383.21	547	24.506
XM_006558319.2	4844	4675.21	3.32043	0.0440115
XM_006558320.2	1249	1080.21	23.6689	1.35782
XM_006558321.2	1080	911.211	37769	2568.56
XM_006558324.2	1426	1257.21	0	0
XM_006558325.2	1316	1147.21	0	0
XM_006558326.2	2028	1859.21	0	0
XM_006558328.2	2968	2799.21	2	0.0442759
XM_006558330.2	1183	1014.21	1442	88.1069
XM_006558333.1	3442	3273.21	1617	30.6132
XM_006558336.2	2123	1954.21	21.4152	0.679086
XM_006558338.2	679	510.338	8	0.971416
XM_006558339.2	638	469.385	0	0
XM_006558340.1	617	448.476	0	0
XM_006558341.2	609	440.476	0	0
XM_006558343.2	4061	3892.21	1136	18.0865
XM_006558346.2	3872	3703.21	233.69	3.91052
XM_006558347.2	3494	3325.21	10.1121	0.188449
XM_006558348.2	1547	1378.21	11	0.494595
XM_006558349.2	1544	1375.21	0	0
XM_006558350.2	3501	3332.21	16.4627	0.306156
XM_006558351.2	3386	3217.21	229.533	4.42119
XM_006558352.2	2986	2817.21	297.097	6.53509
XM_006558355.2	5528	5359.21	1491	17.2405
XM_006558357.2	2016	1847.21	539.379	18.0947
XM_006558358.2	4407	4238.21	12	0.175457
XM_006558359.2	2342	2173.21	6827.42	194.683
XM_006558360.2	1371	1202.21	763.296	39.3447
XM_006558362.2	2273	2104.21	994.648	29.2923
XM_006558363.2	2268	2099.21	708.759	20.9226
XM_006558364.2	1615	1446.21	921	39.464
XM_006558365.2	507	338.766	0	0
XM_006558366.2	483	315.193	178.231	35.0412
XM_006558371.2	5718	5549.21	12.2257	0.136526
XM_006558372.2	4931	4762.21	0	0
XM_006558373.2	5539	5370.21	0	0
XM_006558374.2	4201	4032.21	591.805	9.09512
XM_006558375.2	5046	4877.21	0	0
XM_006558376.2	5030	4861.21	0	0
XM_006558377.2	5512	5343.21	269.565	3.12632
XM_006558378.2	5027	4858.21	394.142	5.02747
XM_006558379.2	4596	4427.21	2212.59	30.9702
XM_006558380.2	2523	2354.21	0	0
XM_006558381.2	2516	2347.21	0	0
XM_006558382.2	2548	2379.21	30	0.781378
XM_006558383.2	2425	2256.21	0	0
XM_006558384.2	2403	2234.21	0	0
XM_006558385.2	1572	1403.21	283.095	12.5021
XM_006558386.2	870	701.285	158.009	13.9624
XM_006558388.2	2135	1966.21	0	0
XM_006558389.2	1642	1473.21	15.0426	0.632749
XM_006558394.2	2177	2008.21	1085	33.4806
XM_006558395.2	7444	7275.21	12673.2	107.948
XM_006558396.2	4116	3947.21	0	0
XM_006558397.2	4107	3938.21	549.896	8.65276
XM_006558400.2	4089	3920.21	2300.69	36.3681
XM_006558401.2	4056	3887.21	107.367	1.71162
XM_006558402.2	3788	3619.21	104.084	1.78215
XM_006558403.2	1566	1397.21	198.495	8.80361
XM_006558404.1	1992	1823.21	0	0
XM_006558405.2	1938	1769.21	361.322	12.6557
XM_006558406.2	1911	1742.21	67.0614	2.38531
XM_006558408.2	4558	4389.21	870.427	12.2891
XM_006558410.2	999	830.211	245.445	18.3205
XM_006558411.2	1952	1783.21	931.375	32.3664
XM_006558412.2	1453	1284.21	366.012	17.6617
XM_006558413.2	1375	1206.21	279.138	14.3407
XM_006558414.2	1357	1188.21	2024.89	105.604
XM_006558416.2	804	635.285	43.6748	4.26025
XM_006558417.2	1149	980.211	967.272	61.1508
XM_006558418.2	939	770.211	1120	90.1118
XM_006558419.2	3174	3005.21	1270.5	26.1982
XM_006558423.2	3502	3333.21	311.006	5.78202
XM_006558424.2	3401	3232.21	496.563	9.52023
XM_006558426.2	2467	2298.21	109.616	2.95568
XM_006558427.2	2181	2012.21	1280.3	39.4286
XM_006558428.2	1969	1800.21	37.5329	1.292
XM_006558440.2	1209	1040.21	0.00983635	0.000585984
XM_006558441.2	1205	1036.21	0.990164	0.059215
XM_006558442.2	2659	2490.21	974.009	24.2382
XM_006558443.2	2657	2488.21	387.991	9.6629
XM_006558444.2	1332	1163.21	3.36481	0.179256
XM_006558445.2	3682	3513.21	477.651	8.42518
XM_006558446.2	3462	3293.21	65.1287	1.22553
XM_006558450.2	1465	1296.21	1181	56.4608
XM_006558452.2	13245	13076.2	18.7467	0.0888417
XM_006558453.2	3235	3066.21	0	0
XM_006558454.2	2874	2705.21	0	0
XM_006558456.2	3156	2987.21	9.48946	0.196856
XM_006558457.2	2557	2388.21	9.55883	0.248031
XM_006558459.2	2404	2235.21	68.0958	1.88788
XM_006558460.2	4334	4165.21	1479.08	22.0054
XM_006558461.2	3016	2847.21	182.087	3.96308
XM_006558462.2	3038	2869.21	27.2188	0.587868
XM_006558463.2	3223	3054.21	0	0
XM_006558464.2	5407	5238.21	914.851	10.8228
XM_006558465.2	7607	7438.21	4351.84	36.2558
XM_006558466.2	5395	5226.21	197.628	2.34333
XM_006558467.2	7595	7426.21	2218	18.5084
XM_006558468.2	2767	2598.21	480.092	11.4505
XM_006558469.2	6822	6653.21	490.311	4.56681
XM_006558470.2	6816	6647.21	321.755	2.99957
XM_006558471.2	2755	2586.21	210.674	5.04802
XM_006558472.2	6810	6641.21	150.483	1.40415
XM_006558473.2	6804	6635.21	154.431	1.44229
XM_006558474.2	880	711.285	720.603	62.7807
XM_006558475.2	803	634.285	915.824	89.4748
XM_006558476.2	807	638.285	0	0
XM_006558477.2	3518	3349.21	5966	110.386
XM_006558479.2	3184	3015.21	956.765	19.6635
XM_006558481.2	6997	6828.21	1332.45	12.0925
XM_006558482.2	793	624.285	3111	308.809
XM_006558483.2	994	825.211	259.786	19.5085
XM_006558485.2	2945	2776.21	999	22.299
XM_006558486.2	6832	6663.21	0	0
XM_006558487.2	6808	6639.21	1400.52	13.0721
XM_006558488.2	6793	6624.21	2652.4	24.813
XM_006558489.2	4366	4197.21	168.653	2.49005
XM_006558490.2	4292	4123.21	0	0
XM_006558492.2	830	661.285	46.9782	4.40231
XM_006558495.2	4412	4243.21	2630.83	38.4213
XM_006558496.2	6141	5972.21	1061.14	11.0106
XM_006558498.2	2803	2634.21	267.707	6.29771
XM_006558499.2	2588	2419.21	7.64716	0.195884
XM_006558500.2	2687	2518.21	214.965	5.28991
XM_006558501.2	2778	2609.21	97.9058	2.32526
XM_006558502.2	6325	6156.21	3165	31.8591
XM_006558510.2	8152	7983.21	1053.06	8.17429
XM_006558511.2	8038	7869.21	954.523	7.51672
XM_006558512.2	4013	3844.21	324.238	5.22673
XM_006558513.2	5061	4892.21	214.331	2.71489
XM_006558514.2	5170	5001.21	52.2447	0.647352
XM_006558515.2	4458	4289.21	0	0
XM_006558516.2	1222	1053.21	112.296	6.60728
XM_006558517.2	1217	1048.21	50.9809	3.01392
XM_006558518.2	1212	1043.21	129.677	7.70309
XM_006558519.2	1251	1082.21	494.053	28.2901
XM_006558520.1	2474	2305.21	1820	48.9253
XM_006558522.2	1138	969.211	322	20.5878
XM_006558523.2	1507	1338.21	262.498	12.1556
XM_006558525.2	1128	959.211	0	0
XM_006558526.2	2604	2435.21	6	0.152682
XM_006558528.2	1203	1034.21	0	0
XM_006558529.2	6446	6277.21	147.975	1.46082
XM_006558530.2	6260	6091.21	0	0
XM_006558531.2	3821	3652.21	37.3464	0.633674
XM_006558532.2	2580	2411.21	3328.33	85.539
XM_006558533.2	9397	9228.21	282.574	1.89753
XM_006558534.2	9451	9282.21	0.347315	0.00231871
XM_006558535.2	9409	9240.21	0.89026	0.00597047
XM_006558536.2	5682	5513.21	505.38	5.68049
XM_006558537.1	1242	1073.21	283	16.3408
XM_006558538.2	4575	4406.21	189	2.65809
XM_006558544.2	10040	9871.21	0	0
XM_006558545.2	10010	9841.21	3361.84	21.1691
XM_006558547.2	1074	905.211	791.56	54.1885
XM_006558548.2	1134	965.211	20.4398	1.31228
XM_006558550.2	1234	1065.21	1.86458	0.108472
XM_006558552.2	2663	2494.21	779.802	19.3742
XM_006558554.2	2680	2511.21	96.0257	2.36961
XM_006558556.2	1624	1455.21	17.4442	0.742845
XM_006558561.2	2033	1864.21	0	0
XM_006558573.2	477	309.224	655	131.263
XM_006558574.2	1149	980.211	530	33.5065
XM_006558575.2	10869	10700.2	516.984	2.99404
XM_006558576.2	6387	6218.21	0	0
XM_006558577.2	5928	5759.21	0	0
XM_006558578.2	739	570.285	21	2.28192
XM_006558581.2	895	726.285	616.201	52.5762
XM_006558582.2	932	763.211	81.7986	6.64163
XM_006558583.2	6280	6111.21	1866.73	18.929
XM_006558584.2	6278	6109.21	136.268	1.38223
XM_006558585.2	2562	2393.21	0	0
XM_006558586.2	2830	2661.21	18.7926	0.437604
XM_006558587.2	5891	5722.21	0	0
XM_006558588.2	5523	5354.21	0.00205253	2.37557e-05
XM_006558589.2	5482	5313.21	20.3413	0.237243
XM_006558590.2	5842	5673.21	97.6324	1.06644
XM_006558591.2	5758	5589.21	52.0243	0.576805
XM_006558593.2	5564	5395.21	0	0
XM_006558594.2	1379	1210.21	106.414	5.44894
XM_006558596.2	1077	908.211	20.1745	1.37654
XM_006558597.2	1040	871.211	0	0
XM_006558598.2	876	707.285	51.7541	4.53444
XM_006558601.2	1164	995.211	2261.8	140.836
XM_006558603.2	3501	3332.21	271.07	5.04106
XM_006558606.2	1282	1113.21	47.1898	2.6269
XM_006558607.2	2967	2798.21	1469	32.5323
XM_006558608.2	3203	3034.21	557.557	11.3872
XM_006558609.2	940	771.211	26042	2092.54
XM_006558610.2	1704	1535.21	438.988	17.7198
XM_006558611.2	907	738.285	66	5.53979
XM_006558613.2	3514	3345.21	508.072	9.41184
XM_006558616.2	3056	2887.21	3500.29	75.1274
XM_006558617.2	1411	1242.21	16	0.798174
XM_006558618.2	2249	2080.21	540.261	16.0942
XM_006558619.2	2255	2086.21	259.609	7.71142
XM_006558620.2	2369	2200.21	1020	28.7282
XM_006558621.2	4141	3972.21	823	12.8393
XM_006558622.2	704	535.285	3	0.347304
XM_006558624.2	1508	1339.21	0	0
XM_006558625.2	4694	4525.21	111	1.52005
XM_006558629.2	1461	1292.21	1114	53.4226
XM_006558630.2	766	597.285	35	3.63128
XM_006558631.2	507	338.766	54.1256	9.90092
XM_006558633.2	2154	1985.21	34.4673	1.0759
XM_006558634.2	2056	1887.21	120.597	3.95995
XM_006558636.2	2199	2030.21	8.16842e-05	2.49327e-06
XM_006558641.2	3888	3719.21	2751.83	45.8505
XM_006558645.2	1983	1814.21	0	0
XM_006558648.2	1869	1700.21	235.128	8.56988
XM_006558650.2	1880	1711.21	858.784	31.0995
XM_006558651.2	1876	1707.21	12.2347	0.444099
XM_006558652.2	1287	1118.21	24.2461	1.34367
XM_006558653.1	1375	1206.21	666	34.2156
XM_006558656.2	5585	5416.21	942	10.7778
XM_006558657.2	374	209.035	9.3289	2.76557
XM_006558658.2	3802	3633.21	0	0
XM_006558659.2	3596	3427.21	183.759	3.32263
XM_006558660.2	3598	3429.21	0	0
XM_006558661.2	3393	3224.21	15.8967	0.305532
XM_006558663.2	4485	4316.21	275.074	3.94929
XM_006558664.2	5172	5003.21	151.706	1.87901
XM_006558665.2	4834	4665.21	868.28	11.5335
XM_006558667.2	5113	4944.21	46.4298	0.581933
XM_006558668.2	11552	11383.2	77	0.419179
XM_006558669.2	1773	1604.21	184	7.10771
XM_006558670.2	1795	1626.21	686	26.1409
XM_006558671.2	4583	4414.21	22.5919	0.317155
XM_006558672.2	4839	4670.21	21.1169	0.280199
XM_006558673.2	5498	5329.21	73.7153	0.857171
XM_006558674.2	5433	5264.21	132.285	1.55722
XM_006558675.2	2938	2769.21	3	0.0671334
XM_006558676.2	850	681.285	776	70.584
XM_006558677.2	2426	2257.21	93.3217	2.56203
XM_006558679.2	4638	4469.21	718.38	9.96085
XM_006558680.2	4996	4827.21	116.617	1.49705
XM_006558681.2	4980	4811.21	299.865	3.86229
XM_006558682.2	4969	4800.21	241.53	3.11806
XM_006558683.2	4894	4725.21	2.4351e-05	3.19352e-07
XM_006558684.2	4878	4709.21	111.899	1.47249
XM_006558685.2	4932	4763.21	2.69411	0.0350501
XM_006558686.2	4905	4736.21	43.4778	0.568865
XM_006558687.2	4954	4785.21	1866.92	24.1767
XM_006558688.2	5464	5295.21	3905.57	45.7061
XM_006558696.2	1383	1214.21	4	0.204145
XM_006558697.2	1599	1430.21	0	0
XM_006558700.2	2752	2583.21	736	17.6559
XM_006558701.2	5623	5454.21	0	0
XM_006558702.2	5617	5448.21	27.8999	0.317338
XM_006558703.2	5527	5358.21	664.694	7.68733
XM_006558705.2	5816	5647.21	111.449	1.22297
XM_006558706.2	5450	5281.21	144.56	1.69624
XM_006558707.2	5658	5489.21	1700	19.1916
XM_006558708.2	5444	5275.21	203.256	2.38768
XM_006558710.2	2260	2091.21	185.668	5.50189
XM_006558711.2	1932	1763.21	53.4015	1.87682
XM_006558712.2	2060	1891.21	68.4138	2.2417
XM_006558713.2	839	670.285	96	8.87534
XM_006558718.2	956	787.211	338	26.6072
XM_006558728.2	2322	2153.21	659	18.9658
XM_006558731.2	2326	2157.21	1.28891e-05	3.70258e-07
XM_006558732.2	2300	2131.21	25.9321	0.754023
XM_006558737.2	4453	4284.21	394	5.699
XM_006558738.2	4860	4691.21	0	0
XM_006558740.2	5013	4844.21	53.8853	0.68932
XM_006558741.2	5246	5077.21	2734.31	33.373
XM_006558742.2	4662	4493.21	2.91405	0.0401896
XM_006558743.2	4825	4656.21	1.28103e-08	1.7049e-10
XM_006558744.2	4943	4774.21	142.354	1.84774
XM_006558745.2	4988	4819.21	416.775	5.35919
XM_006558746.2	5168	4999.21	28.9619	0.359004
XM_006558750.2	2881	2712.21	430.496	9.83601
XM_006558761.2	824	655.285	0	0
XM_006558762.2	991	822.211	181.656	13.6911
XM_006558765.2	4081	3912.21	57.916	0.917381
XM_006558766.2	4989	4820.21	0	0
XM_006558767.2	3390	3221.21	34.9369	0.672106
XM_006558770.2	2924	2755.21	13.4552	0.302628
XM_006558773.2	1314	1145.21	314	16.9909
XM_006558776.2	3572	3403.21	43.547	0.792944
XM_006558777.2	2781	2612.21	459.835	10.9085
XM_006558779.2	820	651.285	20.7465	1.974
XM_006558780.2	2210	2041.21	0	0
XM_006558782.2	2495	2326.21	112.518	2.99741
XM_006558786.2	4451	4282.21	1	0.0144712
XM_006558787.2	1260	1091.21	722	41.0017
XM_006558790.2	3252	3083.21	5.9469	0.119525
XM_006558791.1	6830	6661.21	1836.87	17.0883
XM_006558793.2	2590	2421.21	1620	41.4625
XM_006558794.2	4172	4003.21	0	0
XM_006558795.2	4170	4001.21	31.0284	0.480553
XM_006558796.2	4144	3975.21	329.223	5.13219
XM_006558797.2	3922	3753.21	1394.17	23.0189
XM_006558798.2	13047	12878.2	0.0460739	0.000221703
XM_006558799.2	12972	12803.2	97.525	0.472031
XM_006558800.2	13157	12988.2	3463.83	16.5265
XM_006558801.2	13060	12891.2	0.00236038	1.13465e-05
XM_006558803.2	911	742.211	3.99218	0.333316
XM_006558808.2	3694	3525.21	0	0
XM_006558809.2	3655	3486.21	0	0
XM_006558810.2	3640	3471.21	0	0
XM_006558811.2	3610	3441.21	18.5663	0.334339
XM_006558813.2	3571	3402.21	52.9136	0.963782
XM_006558814.2	3556	3387.21	154.398	2.8247
XM_006558815.2	3517	3348.21	47.6977	0.882791
XM_006558816.2	2028	1859.21	2161.55	72.0459
XM_006558818.2	1912	1743.21	45	1.59969
